party,candidate,vote,state,district
REP,Kat Cammack,241174,Florida,3
DEM,Tom Wells,150283,Florida,3
REP,Aaron Bean,222364,Florida,4
DEM,LaShonda Holloway,165912,Florida,4
REP,John Rutherford,267471,Florida,5
DEM,Jay McGovern,156570,Florida,5
REP,Michael Waltz,284414,Florida,6
DEM,James Stockton,143050,Florida,6
REP,Cory Mills,233937,Florida,7
DEM,Jennifer Adams,179917,Florida,7
REP,Mike Haridopolos,280352,Florida,8
DEM,Sandy Kennedy,170097,Florida,8
DEM,Darren Soto,178785,Florida,9
REP,Thomas Chalifoux,138076,Florida,9
DEM,Maxwell Frost,181455,Florida,10
REP,Willie Montague,109460,Florida,10
REP,Daniel Webster,269277,Florida,11
DEM,Barbie Harden Hall,176726,Florida,11
REP,Gus Bilirakis,306487,Florida,12
DEM,Rock Aboujaoude,124949,Florida,12
REP,Anna Paulina Luna,225636,Florida,13
DEM,Whitney Fox,185930,Florida,13
DEM,Kathy Castor,199423,Florida,14
REP,Rocky Rochford,145643,Florida,14
REP,Laurel Lee,195334,Florida,15
DEM,Pat Kemp,152361,Florida,15
REP,Vern Buchanan,247516,Florida,16
DEM,Jan Schneider,168625,Florida,16
REP,Greg Steube,291347,Florida,17
DEM,Manny Lopez,164566,Florida,17
REP,Scott Franklin,225170,Florida,18
DEM,Andrea Kale,119637,Florida,18
REP,Byron Donalds,275708,Florida,19
DEM,Kari Lerner,140038,Florida,19
DEM,Sheila Cherfilus-McCormick,0,Florida,20
REP,Brian Mast,277435,Florida,21
DEM,Thomas Witkop,171312,Florida,21
DEM,Lois Frankel,201608,Florida,22
REP,Dan Franzese,165248,Florida,22
DEM,Jared Moskowitz,196311,Florida,23
REP,Joe Kaufman,178006,Florida,23
DEM,Frederica Wilson,194874,Florida,24
REP,Jesus Navarro,90692,Florida,24
DEM,Debbie Wasserman Schultz,186942,Florida,25
REP,Chris Eddy,156208,Florida,25
REP,Mario Diaz-Balart,217199,Florida,26
DEM,Joey Atkins,89072,Florida,26
REP,Maria Elvira Salazar,199159,Florida,27
DEM,Lucia Baez-Geller,130708,Florida,27
REP,Carlos Giménez,210057,Florida,28
DEM,Phil Ehr,115280,Florida,28
REP,Buddy Carter,220576,Georgia,1
DEM,Patti Hewitt,135281,Georgia,1
DEM,Sanford Bishop,176028,Georgia,2
