STATE,Year,Total,Dem Votes,Dem Percent,Dem EV,Rep Votes,Rep Percent,Rep EV
Wisconsin,1988,2191608,1126794,51.4,11,1047499,47.8,
Wyoming,1988,176551,67113,38,,106867,60.5,3
Alabama,1984,1441713,551899,38.3,,872849,60.5,9
Alaska,1984,207605,62007,29.9,,138377,66.7,3
Arizona,1984,1025897,333854,32.5,,681416,66.4,7
Arkansas,1984,884406,338646,38.3,,534774,60.5,6
California,1984,9505423,3922519,41.3,,5467009,57.5,47
Colorado,1984,1295380,454975,35.1,,821817,63.4,8
Connecticut,1984,1466900,569597,38.8,,890877,60.7,8
Delaware,1984,254572,101656,39.9,,152190,59.8,3
Dist. of Col.,1984,211288,180408,85.4,3,29009,13.7,
Florida,1984,4180051,1448816,34.7,,2730350,65.3,21
Georgia,1984,1776120,706628,39.8,,1068722,60.2,12
Hawaii,1984,335846,147154,43.8,,185050,55.1,4
Idaho,1984,411144,108510,26.4,,297523,72.4,4
Illinois,1984,4819088,2086499,43.3,,2707103,56.2,24
Indiana,1984,2233069,841481,37.7,,1377230,61.7,12
Iowa,1984,1319805,605620,45.9,,703088,53.3,8
Kansas,1984,1021991,333149,32.6,,677296,66.3,7
Kentucky,1984,1369345,539539,39.4,,821702,60,9
Louisiana,1984,1706822,651586,38.2,,1037299,60.8,10
Maine,1984,553144,214515,38.8,,336500,60.8,4
Maryland,1984,1675873,787935,47,,879918,52.5,10
Massachusetts,1984,2559453,1239606,48.4,,1310936,51.2,13
Michigan,1984,3801658,1529638,40.2,,2251571,59.2,20
Minnesota,1984,2084449,1036364,49.7,10,1032603,49.5,
Mississippi,1984,941104,352192,37.4,,582377,61.9,7
Missouri,1984,2122783,848583,40,,1274188,60,11
Montana,1984,384377,146742,38.2,,232450,60.5,4
Nebraska,1984,652090,187866,28.8,,460054,70.6,5
Nevada,1984,286667,91655,32,,188770,65.8,4
New Hampshire,1984,389066,120395,30.9,,267051,68.6,4
New Jersey,1984,3217862,1261323,39.2,,1933630,60.1,16
New Mexico,1984,514370,201769,39.2,,307101,59.7,5
New York,1984,6806810,3119609,45.8,,3664763,53.8,36
North Carolina,1984,2175361,824287,37.9,,1346481,61.9,13
North Dakota,1984,308971,104429,33.8,,200336,64.8,3
Ohio,1984,4547619,1825440,40.1,,2678560,58.9,23
Oklahoma,1984,1255676,385080,30.7,,861530,68.6,8
Oregon,1984,1226527,536479,43.7,,685700,55.9,7
Pennsylvania,1984,4844903,2228131,46,,2584323,53.3,25
Rhode Island,1984,410492,197106,48,,212080,51.7,4
South Carolina,1984,968529,344459,35.6,,615539,63.6,8
South Dakota,1984,317867,116113,36.5,,200267,63,3
Tennessee,1984,1711994,711714,41.6,,990212,57.8,11
Texas,1984,5397571,1949276,36.1,,3433428,63.6,29
Utah,1984,629656,155369,24.7,,469105,74.5,5
Vermont,1984,234561,95730,40.8,,135865,57.9,3
Virginia,1984,2146635,796250,37.1,,1337078,62.3,12
Washington,1984,1883910,807352,42.9,,1051670,55.8,10
West Virginia,1984,735742,328125,44.6,,405483,55.1,6
Wisconsin,1984,2211689,995740,45,,1198584,54.2,11
Wyoming,1984,188968,53370,28.2,,133241,70.5,3
Alabama,1980,1341929,636730,47.4,,654192,48.8,9
Alaska,1980,158445,41842,26.4,,86112,54.3,3
Arizona,1980,873945,246843,28.2,,529688,60.6,6
Arkansas,1980,837582,398041,47.5,,403164,48.1,6
California,1980,8587063,3083661,35.9,,4524858,52.7,45
Colorado,1980,1184415,367973,31.1,,652264,55.1,7
Connecticut,1980,1406285,541732,38.5,,677210,48.2,8
Delaware,1980,235900,105754,44.8,,111252,47.2,3
Dist. of Col.,1980,175237,131113,74.8,3,23545,13.4,
Florida,1980,3686930,1419475,38.5,,2046951,55.5,17
Georgia,1980,1596695,890733,55.8,12,654168,41,
Hawaii,1980,303287,135879,44.8,4,130112,42.9,
Idaho,1980,437431,110192,25.2,,290699,66.5,4
Illinois,1980,4749721,1981413,41.7,,2358049,49.6,26
Indiana,1980,2242033,844197,37.7,,1255656,56,13
Iowa,1980,1317661,508672,38.6,,676026,51.3,8
Kansas,1980,979795,326150,33.3,,566812,57.9,7
Kentucky,1980,1294627,616417,47.6,,635274,49.1,9
Louisiana,1980,1548591,708453,45.7,,792853,51.2,10
Maine,1980,523011,220974,42.3,,238522,45.6,4
Maryland,1980,1540496,726161,47.1,10,680606,44.2,
Massachusetts,1980,2522890,1053802,41.7,,1057631,41.9,14
Michigan,1980,3909725,1661532,42.5,,1915225,49,21
Minnesota,1980,2051980,954174,46.5,10,873268,42.6,
Mississippi,1980,892620,429281,48.1,,441089,49.4,7
Missouri,1980,2099824,931182,44.3,,1074181,51.2,12
Montana,1980,363952,118032,32.4,,206814,56.8,4
Nebraska,1980,640854,166851,26,,419937,65.5,5
Nevada,1980,247885,66666,26.9,,155017,62.5,3
New Hampshire,1980,383990,108864,28.4,,221705,57.7,4
New Jersey,1980,2975684,1147364,38.6,,1546557,52,17
New Mexico,1980,456971,167826,36.7,,250779,54.9,4
New York,1980,6201959,2728372,44,,2893831,46.7,41
North Carolina,1980,1855833,875635,47.2,,915018,49.3,13
North Dakota,1980,301545,79189,26.3,,193695,64.2,3
Ohio,1980,4283603,1752414,40.9,,2206545,51.5,25
Oklahoma,1980,1149708,402026,35,,695570,60.5,8
Oregon,1980,1181516,456890,38.7,,571044,48.3,6
Pennsylvania,1980,4561501,1937540,42.5,,2261872,49.6,27
Rhode Island,1980,416072,198342,47.7,4,154793,37.2,
South Carolina,1980,894071,430385,48.1,,441841,49.4,8
South Dakota,1980,327703,103855,31.7,,198343,60.5,4
Tennessee,1980,1617616,783051,48.4,,787761,48.7,10
Texas,1980,4541636,1881147,41.4,,2510705,55.3,26
Utah,1980,604222,124266,20.6,,439687,72.8,4
Vermont,1980,213299,81952,38.4,,94628,44.4,3
Virginia,1980,1866032,752174,40.3,,989609,53,12
Washington,1980,1742394,650193,37.3,,865244,49.7,9
West Virginia,1980,737715,367462,49.8,6,334206,45.3,
Wisconsin,1980,2273221,981584,43.2,,1088845,47.9,11
Wyoming,1980,176713,49427,28,,110700,62.6,3
Alabama,1976,1182850,659170,55.7,9,504070,42.6,
Alaska,1976,123574,44058,35.7,,71555,57.9,3
Arizona,1976,742719,295602,39.8,,418642,56.4,6
Arkansas,1976,767535,498604,65,6,267903,34.9,
California,1976,7867117,3742284,47.6,,3882244,49.3,45
Colorado,1976,1081554,460353,42.6,,584367,54,7
Connecticut,1976,1381526,647895,46.9,,719261,52.1,8
Delaware,1976,235834,122596,52,3,109831,46.6,
Dist. of Col.,1976,168830,137818,81.6,3,27873,16.5,
Florida,1976,3150631,1636000,51.9,17,1469531,46.6,
Georgia,1976,1467458,979409,66.7,12,483743,33,
Hawaii,1976,291301,147375,50.6,4,140003,48.1,
Idaho,1976,344071,126549,36.8,,204151,59.3,4
Illinois,1976,4718914,2271295,48.1,,2364269,50.1,26
Indiana,1976,2220362,1014714,45.7,,1183958,53.3,13
Iowa,1976,1279306,619931,48.5,,632863,49.5,8
Kansas,1976,957845,430421,44.9,,502752,52.5,7
Kentucky,1976,1167142,615717,52.8,9,531852,45.6,
Louisiana,1976,1278439,661365,51.7,10,587446,46,
Maine,1976,483216,232279,48.1,,236320,48.9,4
Maryland,1976,1439897,759612,52.8,10,672661,46.7,
Massachusetts,1976,2547558,1429475,56.1,14,1030276,40.4,
Michigan,1976,3653749,1696714,46.4,,1893742,51.8,21
Minnesota,1976,1949931,1070440,54.9,10,819395,42,
Mississippi,1976,769361,381309,49.6,7,366846,47.7,
Missouri,1976,1953600,998387,51.1,12,927443,47.5,
Montana,1976,328734,149259,45.4,,173703,52.8,4
Nebraska,1976,607668,233692,38.5,,359705,59.2,5
Nevada,1976,201876,92479,45.8,,101273,50.2,3
New Hampshire,1976,339618,147635,43.5,,185935,54.7,4
New Jersey,1976,3014472,1444653,47.9,,1509688,50.1,17
New Mexico,1976,418409,201148,48.1,,211419,50.5,4
New York,1976,6534170,3389558,51.9,41,3100791,47.5,
North Carolina,1976,1678914,927365,55.2,13,741960,44.2,
North Dakota,1976,297188,136078,45.8,,153470,51.6,3
Ohio,1976,4111873,2011621,48.9,25,2000505,48.7,
Oklahoma,1976,1092251,532442,48.7,,545708,50,8
Oregon,1976,1029876,490407,47.6,,492120,47.8,6
Pennsylvania,1976,4620787,2328677,50.4,27,2205604,47.7,
Rhode Island,1976,411170,227636,55.4,4,181249,44.1,
South Carolina,1976,802583,450807,56.2,8,346149,43.1,
South Dakota,1976,300678,147068,48.9,,151505,50.4,4
Tennessee,1976,1476345,825879,55.9,10,633969,42.9,
Texas,1976,4071884,2082319,51.1,26,1953300,48,
Utah,1976,541198,182110,33.6,,337908,62.4,4
Vermont,1976,187765,80954,43.1,,102085,54.4,3
Virginia,1976,1697094,813896,48,,836554,49.3,12
Washington,1976,1555534,717323,46.1,,777732,50,8
West Virginia,1976,750964,435914,58,6,314760,41.9,
Wisconsin,1976,2104175,1040232,49.4,11,1004987,47.8,
Wyoming,1976,156343,62239,39.8,,92717,59.3,3
Alabama,1972,1006111,256923,25.5,,728701,72.4,9
Alaska,1972,95219,32967,34.6,,55349,58.1,3
Arizona,1972,622926,198540,31.9,,402812,64.7,6
Arkansas,1972,651320,199892,30.7,,448541,68.9,6
California,1972,8367862,3475847,41.5,,4602096,55,45
Colorado,1972,953884,329980,34.6,,597189,62.6,7
Connecticut,1972,1384277,555498,40.1,,810763,58.6,8
Delaware,1972,235516,92283,39.2,,140357,59.6,3
Dist. of Col.,1972,163421,127627,78.1,3,35226,21.6,
Florida,1972,2583283,718117,27.8,,1857759,71.9,17
Georgia,1972,1174772,289529,24.6,,881496,75,12
Hawaii,1972,270274,101409,37.5,,168865,62.5,4
Idaho,1972,310379,80826,26,,199384,64.2,4
Illinois,1972,4723236,1913472,40.5,,2788179,59,26
Indiana,1972,2125529,708568,33.3,,1405154,66.1,13
Iowa,1972,1225944,496206,40.5,,706207,57.6,8
Kansas,1972,916095,270287,29.5,,619812,67.7,7
Kentucky,1972,1067499,371159,34.8,,676446,63.4,9
Louisiana,1972,1051491,298142,28.4,,686852,65.3,10
Maine,1972,417042,160584,38.5,,256458,61.5,4
Maryland,1972,1353812,505781,37.4,,829305,61.3,10
Massachusetts,1972,2458756,1332540,54.2,14,1112078,45.2,
Michigan,1972,3489727,1459435,41.8,,1961721,56.2,21
Minnesota,1972,1741652,802346,46.1,,898269,51.6,10
Mississippi,1972,645963,126782,19.6,,505125,78.2,7
Missouri,1972,1855803,697147,37.6,,1153852,62.2,12
Montana,1972,317603,120197,37.8,,183976,57.9,4
Nebraska,1972,576289,169991,29.5,,406298,70.5,5
Nevada,1972,181766,66016,36.3,,115750,63.7,3
New Hampshire,1972,334055,116435,34.9,,213724,64,4
New Jersey,1972,2997229,1102211,36.8,,1845502,61.6,17
New Mexico,1972,386241,141084,36.5,,235606,61,4
New York,1972,7165919,2951084,41.2,,4192778,58.5,41
North Carolina,1972,1518612,438705,28.9,,1054889,69.5,13
North Dakota,1972,280514,100384,35.8,,174109,62.1,3
Ohio,1972,4094787,1558889,38.1,,2441827,59.6,25
Oklahoma,1972,1029900,247147,24,,759025,73.7,8
Oregon,1972,927946,392760,42.3,,486686,52.4,6
Pennsylvania,1972,4592106,1796951,39.1,,2714521,59.1,27
Rhode Island,1972,415808,194645,46.8,,220383,53,4
South Carolina,1972,673960,186824,27.7,,477044,70.8,8
South Dakota,1972,307415,139945,45.5,,166476,54.2,4
Tennessee,1972,1201182,357293,29.7,,813147,67.7,10
Texas,1972,3471281,1154289,33.3,,2298896,66.2,26
Utah,1972,478476,126284,26.4,,323643,67.6,4
Vermont,1972,186947,68174,36.5,,117149,62.7,3
Virginia,1972,1457019,438887,30.1,,988493,67.8,11
Washington,1972,1470847,568334,38.6,,837135,56.9,9
West Virginia,1972,762399,277435,36.4,,484964,63.6,6
Wisconsin,1972,1852890,810174,43.7,,989430,53.4,11
Wyoming,1972,145570,44358,30.5,,100464,69,3
Alabama ,2024,2265090,772412,34.1,,1462616,64.6,9
Alaska ,2024,338177,140026,41.4,,184458,54.5,3
Arizona ,2024,3390161,1582860,46.7,,1770242,52.2,11
Arkansas ,2024,1182676,396905,33.6,,759241,64.2,6
California ,2024,15865475,9276179,58.5,54,6081697,38.3,
Colorado ,2024,3190873,1728159,54.2,10,1377441,43.2,
Connecticut ,2024,1759010,992053,56.4,7,736918,41.9,
Delaware ,2024,511697,289758,56.6,3,214351,41.9,
District of Columbia ,2024,325869,294185,90.3,3,21076,6.5,
Florida ,2024,10893752,4683038,43,,6110125,56.1,30
Georgia ,2024,5250047,2548017,48.5,,2663117,50.7,16
Hawaii ,2024,516701,313044,60.6,4,193661,37.5,
Idaho ,2024,904812,274972,30.4,,605246,66.9,4
Illinois ,2024,5633310,3062863,54.4,19,2449079,43.5,
Indiana ,2024,2936677,1163603,39.6,,1720347,58.6,11
Iowa ,2024,1663506,707278,42.5,,927019,55.7,6
Kansas ,2024,1327591,544853,41,,758802,57.2,6
Kentucky ,2024,2070101,700921,33.9,,1336230,64.5,8
Louisiana ,2024,2006975,766870,38.2,,1208505,60.2,8
Maine,2024,830989,435351,52.4,2,377837,45.5,
ME-1,2024,429577,255427,59.5,1,164616,38.3,
ME-2,2024,401412,179924,44.8,,213221,53.1,1
Maryland ,2024,3038334,1902577,62.6,10,1035550,34.1,
Massachusetts ,2024,3473653,2126545,61.2,11,1251308,36,
Michigan ,2024,5664186,2736533,48.3,,2816636,49.7,15
Minnesota ,2024,3253920,1656979,50.9,10,1519032,46.7,
Mississippi ,2024,1228008,466668,38,,747744,60.9,6
Missouri ,2024,2995327,1200599,40.1,,1751986,58.5,10
Montana ,2024,602984,231906,38.5,,352079,58.4,4
Nebraska,2024,952182,369995,38.9,,564816,59.3,2
NE-1,2024,320194,136153,42.5,,177666,55.5,1
NE-2,2024,318646,163541,51.3,1,148905,46.7,
NE-3 ,2024,313342,70301,22.4,,238245,76,1
Nevada ,2024,1484840,705197,47.5,,751205,50.6,6
New Hampshire ,2024,826189,418488,50.7,4,395523,47.9,
New Jersey ,2024,4272725,2220713,52,14,1968215,46.1,
New Mexico ,2024,923403,478802,51.9,5,423391,45.9,
New York ,2024,8262495,4619195,55.9,28,3578899,43.3,
North Carolina ,2024,5699145,2715378,47.7,,2898424,50.9,16
North Dakota ,2024,368155,112327,30.5,,246505,67,3
Ohio ,2024,5767788,2533699,43.9,,3180116,55.1,17
Oklahoma ,2024,1566173,499599,31.9,,1036213,66.2,7
Oregon ,2024,2244493,1240600,55.3,8,919480,41,
Pennsylvania ,2024,7034206,3423042,48.7,,3543308,50.4,19
Rhode Island ,2024,513386,285156,55.5,4,214406,41.8,
South Carolina ,2024,2548140,1028452,40.4,,1483747,58.2,9
South Dakota ,2024,428922,146859,34.2,,272081,63.4,3
Tennessee ,2024,3063942,1056265,34.5,,1966865,64.2,11
Texas ,2024,11388674,4835250,42.5,,6393597,56.1,40
Utah ,2024,1488043,562566,37.8,,883818,59.4,6
Vermont ,2024,369422,235791,63.2,3,119395,32,
Virginia ,2024,4505941,2335395,51.8,13,2075085,46.1,
Washington ,2024,3924243,2245849,57.2,12,1530923,39,
West Virginia ,2024,762390,214309,28.1,,533556,70,4
Wisconsin ,2024,3422918,1668229,48.7,,1697626,49.6,10
Wyoming ,2024,269048,69527,25.8,,192633,71.6,3
