STATE,Year,Total,Dem Votes,Dem Percent,Dem EV,Rep Votes,Rep Percent,Rep EV
Virginia,2016,3982752,1981473,49.8,13,1769443,44.4,
Washington,2016,3209214,1742718,54.3,12,1221747,38.1,
West Virginia,2016,713051,188794,26.5,,489371,68.6,5
Wisconsin,2016,2976150,1382536,46.5,,1405284,47.2,10
Wyoming,2016,255849,55973,21.9,,174419,68.2,3
Alabama,2012,2074338,795696,38.4,,1255925,60.5,9
Alaska,2012,300495,122640,40.8,,164676,54.8,3
Arizona,2012,2299254,1025232,44.6,,1233654,53.7,11
Arkansas,2012,1069468,394409,36.9,,647744,60.6,6
California,2012,13038547,7854285,60.2,55,4839958,37.1,
Colorado,2012,2569520,1323101,51.5,9,1185243,46.1,
Connecticut,2012,1558960,905083,58.1,7,634892,40.7,
Delaware,2012,413921,242584,58.6,3,165484,40,
Dist. of Col.,2012,293764,267070,90.9,3,21381,7.3,
Florida,2012,8474179,4237756,50,29,4163447,49.1,
Georgia,2012,3900050,1773827,45.5,,2078688,53.3,16
Hawaii,2012,434697,306658,70.5,4,121015,27.8,
Idaho,2012,652274,212787,32.6,,420911,64.5,4
Illinois,2012,5242014,3019512,57.6,20,2135216,40.7,
Indiana,2012,2624534,1152887,43.9,,1420543,54.1,11
Iowa,2012,1582180,822544,52,6,730617,46.2,
Kansas,2012,1159971,440726,38,,692634,59.7,6
Kentucky,2012,1797212,679370,37.8,,1087190,60.5,8
Louisiana,2012,1994065,809141,40.6,,1152262,57.8,8
Maine,2012,713180,401306,56.3,4,292276,41,
Maryland,2012,2707327,1677844,62,10,971869,35.9,
Massachusetts,2012,3167767,1921290,60.7,11,1188314,37.5,
Michigan,2012,4730961,2564569,54.2,16,2115256,44.7,
Minnesota,2012,2936561,1546167,52.7,10,1320225,45,
Mississippi,2012,1285584,562949,43.8,,710746,55.3,6
Missouri,2012,2757323,1223796,44.4,,1482440,53.8,10
Montana,2012,484048,201839,41.7,,267928,55.4,3
Nebraska,2012,794379,302081,38,,475064,59.8,5
Nevada,2012,1014918,531373,52.4,6,463567,45.7,
New Hampshire,2012,710972,369561,52,4,329918,46.5,
New Jersey,2012,3638499,2122786,58.3,14,1478088,40.6,
New Mexico,2012,783758,415335,53,5,335788,42.8,
New York,2012,7061925,4471871,63.4,29,2485432,35.2,
North Carolina,2012,4505372,2178391,48.4,,2270395,50.4,15
North Dakota,2012,322932,124966,38.7,,188320,58.3,3
Ohio,2012,5580822,2827621,50.7,18,2661407,47.7,
Oklahoma,2012,1334872,443547,33.2,,891325,66.8,7
Oregon,2012,1789270,970488,54.2,7,754175,42.1,
Pennsylvania,2012,5753670,2990274,52.1,20,2680434,46.7,
Rhode Island,2012,446049,279677,62.7,4,157204,35.2,
