,The Forest,Anesthesia,Lamb,Ride Along 2,13 Hours: The Secret Soldiers of Benghazi,Norm of the North,Dirty Grandpa,The 5th Wave,The Boy,Ip Man 3,Synchronicity,Kung Fu Panda 3,The Finest Hours,Jane Got a Gun,"Hail, Caesar!",Pride + Prejudice + Zombies,The Choice,Deadpool,Zoolander 2,How to Be Single,Risen,The Witch,Race,Gods of Egypt,Triple 9,Zootopia,London Has Fallen,Whiskey Tango Foxtrot,The Other Side of the Door,10 Cloverfield Lane,The Young Messiah,The Perfect Match,"Hello, My Name Is Doris",Miracles from Heaven,The Divergent Series: Allegiant,The Bronze,Midnight Special,Batman v Superman: Dawn of Justice,My Big Fat Greek Wedding 2,Everybody Wants Some!!,God's Not Dead 2,Meet the Blacks,Miles Ahead,The Boss,Hardcore Henry,Demolition,The Invitation,The Jungle Book,Barbershop: The Next Cut,Criminal,Green Room,The Huntsman: Winter's War,Elvis & Nixon,Keanu,Mother's Day,Ratchet & Clank,Captain America: Civil War,Money Monster,The Darkness,Love & Friendship,The Angry Birds Movie,Neighbors 2: Sorority Rising,The Nice Guys,X-Men: Apocalypse,Alice Through the Looking Glass,TMNT 2: Out of the Shadows,Me Before You,Popstar: Never Stop Never Stopping,The Conjuring 2,Warcraft,Now You See Me 2,Finding Dory,Central Intelligence,Independence Day: Resurgence,The Shallows,Free State of Jones,The Neon Demon,The Legend of Tarzan,The BFG,The Purge: Election Year,The Secret Life of Pets,Mike and Dave Need Wedding Dates,Characterz,The Infiltrator,Ghostbusters,Star Trek Beyond,Ice Age: Collision Course,Lights Out,Jason Bourne,Bad Moms,Nerve,Suicide Squad,Ben-Hur,War Dogs,Hands of Stone,The Girl on the Train,Keeping Up with the Joneses,Friend Request,23,Rogue One: A Star Wars Story (film),21
Synchronicity,3.1540976,3.5749295,4.9717307,3.2225094,1.8233463,2.7752068,4.835491,1.1016628,3.0551772,2.4540298,0.0,2.4247026,4.3215427,3.6625996,3.788038,2.740134,4.2712255,1.2145152,1.5226144,4.3930864,3.2206643,2.918934,3.8363981,1.5471873,2.8579226,2.446194,1.7402613,4.555877,2.9436436,3.4786615,3.4746072,4.7169175,4.8140025,3.2228107,1.1225902,3.8765938,1.0847789,1.2252884,4.2072153,4.4385366,3.7427232,3.9538693,5.006857,3.3404155,0.99078834,4.8604555,4.8489046,2.675065,4.2374387,1.1654536,3.998817,2.0661702,1.712477,3.024553,3.892702,0.32612842,1.3204153,2.6559758,1.748476,2.7386906,1.0470454,4.0305943,3.7938657,1.2295643,2.2482584,0.97689956,4.712513,4.0303745,3.0531228,0.8648994,1.8747834,2.195643,4.205052,0.97903675,2.8479187,3.2335932,4.1373296,2.7294981,2.5100567,3.2885766,2.337614,4.913443,2.6610963,3.1983063,3.2233508,0.56553096,0.8342916,3.214791,1.2869188,3.9271584,4.525053,1.4757795,3.6731453,3.3800323,3.0531428,3.5363326,3.806819,4.7353497,1.9405519,0.19533184,2.6357882
Kung Fu Panda 3,1.7267882,2.1678445,3.8677387,1.8977371,1.6181141,1.9335271,3.748172,3.0714145,1.681564,0.15697785,2.4247026,0.0,3.3202713,2.2154136,3.4345315,0.4974347,3.0508354,1.7003696,1.5527651,3.63921,3.0785918,1.5194247,2.2809012,1.2855152,1.6803346,2.3207297,1.7515395,3.6085322,2.4413004,2.155305,3.2831237,3.4618862,3.9127655,2.7359073,2.9562173,2.5078406,3.056164,1.6667097,3.3362513,3.1332738,2.7146327,2.551125,4.081285,1.9490718,2.027668,3.983458,3.7641048,2.1468768,2.6310434,2.0972323,2.3721452,1.2333771,2.0588684,1.577822,3.3491979,2.5988536,1.9697794,1.6048853,2.148941,0.5960055,2.6681795,3.3755784,3.4056447,1.5933075,1.432788,2.3683743,3.666381,2.3581636,1.56056,1.8313836,1.3786395,2.2509902,2.6201618,3.047607,2.4907315,1.578734,3.5245838,0.7843872,1.2613372,1.5782179,2.1105883,3.831154,2.3774264,1.8980068,1.644449,2.693719,2.5853393,2.0677345,2.0130923,3.0583491,3.176912,1.7100956,3.315381,1.9871868,1.856316,2.394583,2.9679983,3.9207153,2.1809852,2.5298412,2.249318
The Finest Hours,2.0848205,1.6746404,0.6840894,2.076866,3.6279562,2.8445935,0.70151216,4.663068,2.425632,3.2645302,4.3215427,3.3202713,0.0,1.567109,1.3608136,3.043321,0.47115248,4.038985,4.0554075,0.6673041,1.7080944,2.4996314,1.2390802,3.510028,2.482514,3.2771811,3.8446264,0.82225394,1.7297592,1.5508721,1.5839094,0.9201711,1.0744294,1.5076084,4.6567817,1.1574887,4.574772,3.9744651,0.530383,0.803398,1.03379,1.1463002,1.3715435,1.7923542,4.1223645,1.3241048,0.54376537,3.075326,1.2291203,4.144463,1.5525876,3.2238252,4.0894613,2.363381,0.85403734,4.3851447,4.230189,2.634074,3.0765383,3.039364,4.124717,0.9300671,1.3482833,3.8018053,3.1782527,4.1048803,0.5182118,1.6159152,2.4156194,4.0057178,3.6403701,2.6100364,1.1433194,4.6608453,1.8803823,2.2843108,0.76422364,2.9821763,2.9462485,2.2695541,3.2075958,0.85637087,3.1431143,2.048753,2.207987,4.3490095,4.049736,1.7135266,4.1120577,0.80706304,1.0474932,4.093526,1.2739923,1.9468801,2.056417,1.315682,0.79589355,0.9596094,2.8833714,4.4795904,3.1384132
Jane Got a Gun,1.363562,0.22466639,1.9996659,1.0686417,2.6431465,2.3053064,1.9987782,4.1572413,1.6620333,2.180887,3.6625996,2.2154136,1.567109,0.0,2.3826582,1.979064,1.35789,3.0962136,3.021824,2.100711,2.3684864,1.7962221,0.9334712,2.6308696,1.3324633,2.8826413,2.8510132,1.7501031,1.8164203,0.6799555,2.4444501,1.6831266,2.1170144,1.8994404,4.0888767,1.0680162,4.1007113,3.0112965,1.5657861,1.4706467,1.2916007,1.036205,2.2344484,0.8607873,3.2877247,2.1703098,1.9237063,2.5993474,0.9655347,3.3205974,0.55872333,2.357816,3.142366,1.1231155,2.008901,3.779063,3.260673,1.4874209,2.7206874,2.0020058,3.6499975,2.0762405,2.3132834,2.9612744,2.3834012,3.4846227,1.8298607,0.71523166,1.5696911,3.2191176,2.5623138,2.4233367,1.0213683,4.140907,1.9903747,1.6991646,2.1044047,2.0042052,2.0896983,1.6713593,2.7159894,2.1251688,2.8231082,1.1310353,1.2882365,3.799109,3.5643866,1.2712226,3.2294176,1.3306621,1.5021074,3.0754137,2.277218,1.0376409,1.2821957,1.1774961,1.1849355,2.2142816,2.5938065,3.8225753,2.7083023
"Hail, Caesar!",2.593169,2.3990037,1.7881818,2.353889,3.4052086,3.073334,1.6657509,4.1479797,2.8942707,3.4008534,3.788038,3.4345315,1.3608136,2.3826582,0.0,3.2694197,1.5776219,3.7357354,3.8491619,0.91226506,0.6177925,2.8510633,2.0482733,3.4224916,2.6675115,3.2545516,3.6041665,1.7079484,1.4283758,2.1642592,0.43881673,1.9766582,1.7866404,1.2096264,4.204347,1.9364777,4.039779,3.7606738,1.3969439,1.8047736,1.641508,1.8064873,2.1110945,2.2066684,3.6916885,2.005331,1.6756811,3.212645,2.1921737,3.683786,2.4678743,3.2981606,3.7722273,2.667224,0.6747819,3.8378253,3.9899151,2.7608385,2.715869,3.286911,3.6500115,0.51027966,0.37743804,3.6159456,3.2936957,3.7373443,1.596408,2.506418,2.8967478,3.7046895,3.5304072,2.262986,2.1150007,4.1283846,1.5429343,2.6739962,0.717248,3.2456238,3.1754794,2.681065,3.2158353,1.7153233,3.163571,2.279264,2.7783895,3.7998142,3.5308754,2.1558628,3.721225,1.5302951,2.0606866,3.881837,0.35746,2.2686625,2.151762,1.8351629,1.4924502,1.4795895,2.5270443,3.942398,3.2280428
Pride + Prejudice + Zombies,1.3834107,1.9637765,3.5808392,1.8179145,2.01106,1.7641951,3.4836733,3.3087637,1.4411354,0.4027886,2.740134,0.4974347,3.043321,1.979064,3.2694197,0.0,2.7689369,2.1338763,2.0139546,3.382351,2.9825795,1.2233402,1.9299959,1.5070155,1.7335507,2.2703178,2.1696522,3.300645,2.2367744,1.864265,3.1537747,3.0991914,3.593348,2.5042498,3.2123346,2.1414745,3.2806497,2.0762408,3.0533786,2.8754258,2.3888664,2.318635,3.7537243,1.7156337,2.4303772,3.6636875,3.4739606,2.023431,2.3466969,2.4969995,2.1318917,1.2732579,2.4831114,1.540441,3.1250489,2.877384,2.401263,1.72017,2.1314173,0.21570276,2.8587122,3.1678917,3.2174063,1.8673908,1.4056734,2.6023614,3.358107,2.126313,1.3244162,2.125301,1.7984265,2.1363323,2.3188896,3.294021,2.2885883,1.1654553,3.2920754,0.4847391,1.1422454,1.1534295,2.0519907,3.5742307,2.2918317,1.772652,1.4372268,2.9411387,2.7812366,1.7296625,2.4317865,2.7802057,2.7953246,2.1607976,3.1454372,1.8415385,1.7379224,2.0568411,2.72853,3.6193132,2.1181438,2.8443902,2.155975
The Choice,1.9006741,1.4836714,0.8263233,1.8761638,3.4501896,2.7043502,0.7324528,4.6550283,2.2084684,2.9964156,4.2712255,3.0508354,0.47115248,1.35789,1.5776219,2.7689369,0.0,3.8843024,3.8679867,1.0239351,1.8319154,2.298443,0.93240714,3.356893,2.290054,3.1975255,3.6719513,1.1616442,1.8229353,1.4485286,1.7519025,1.0350116,1.4332768,1.6689055,4.6249475,1.0481619,4.57565,3.8192863,0.9091127,0.40911487,1.1241543,0.8209977,1.7017595,1.6380705,4.0069013,1.6680154,0.73022586,2.969712,0.8167164,4.029814,1.2139634,3.0536966,3.9342546,2.1440115,1.1714689,4.3587513,4.0761147,2.4489846,3.085752,2.7696877,4.11357,1.1389431,1.6012976,3.6702814,3.014176,4.0486054,0.83446777,1.2420958,2.1724613,3.899952,3.43543,2.6567602,0.7115485,4.655254,1.9908383,2.0440726,1.100829,2.721863,2.7458038,2.0174198,3.1230516,0.8556841,3.0528328,1.8830695,1.9185276,4.337852,4.0472383,1.649831,3.9790118,1.0590475,1.059658,3.916781,1.4787819,1.7495353,1.9109429,1.3053801,1.0010138,1.3555017,2.9081125,4.4301367,3.0402849
Deadpool,2.8545125,2.9818046,4.6299076,2.5223157,0.7475216,2.7254913,4.478901,2.1454852,2.7237718,1.7878879,1.2145152,1.7003696,4.038985,3.0962136,3.7357354,2.1338763,3.8843024,0.0,0.33928016,4.2245913,3.208431,2.658693,3.3928504,1.3658055,2.064607,2.6761742,0.62047994,4.333913,2.9273748,3.0622008,3.485182,4.4175396,4.6378517,3.244373,2.0309699,3.545055,2.155121,0.5064568,4.002852,3.9689457,3.5496979,3.3976862,4.822634,2.8184803,0.42936984,4.6946063,4.527096,2.7626278,3.6503055,0.5866686,3.3439453,1.8690076,0.6998338,2.2575078,3.8175933,1.515519,0.5574542,1.8385953,2.2059672,2.1891203,1.9616379,3.8530629,3.7544782,1.2263485,2.1171703,1.6530255,4.43932,3.348445,2.6498907,1.1500354,0.73968476,2.5191953,3.6609545,2.0670195,2.939651,2.9129212,4.026501,2.2557235,2.2308064,2.9424787,2.5259016,4.5502305,2.8339438,2.5816002,2.695808,1.7149957,1.8214954,3.0230894,0.43071097,3.7232304,4.2112794,0.36251518,3.6404161,2.7324505,2.4952888,3.3071983,3.5533903,4.58685,2.34101,1.348697,2.7625499
Zoolander 2,2.8143032,2.9090624,4.626207,2.4624138,0.6906426,2.7212265,4.473759,2.3936186,2.6571221,1.6516519,1.5226144,1.5527651,4.0554075,3.021824,3.8491619,2.0139546,3.8679867,0.33928016,0.0,4.285205,3.3429797,2.6162043,3.3446004,1.3895247,1.9854473,2.7389104,0.5632018,4.3658633,3.0393898,3.039388,3.6140633,4.4162416,4.682351,3.3559399,2.251336,3.5325918,2.4119182,0.55265903,4.041952,3.9286683,3.581438,3.351896,4.861917,2.786515,0.7518761,4.740752,4.529279,2.7866971,3.5706036,0.86038274,3.2396076,1.8493282,0.7279897,2.1644964,3.9030106,1.8124698,0.5876314,1.7587837,2.3849068,2.0750997,2.1991487,3.9266038,3.8711317,1.3084452,2.101124,1.8495015,4.4568353,3.235043,2.5668635,1.3164581,0.54044634,2.6792378,3.589847,2.327535,3.0681007,2.8658378,4.1015644,2.155384,2.1771247,2.889191,2.582828,4.5435295,2.8830683,2.5467901,2.5897717,2.0015585,2.086466,3.0366158,0.65546143,3.7617888,4.200536,0.22379701,3.7486138,2.681685,2.4865327,3.3277345,3.585708,4.644619,2.5123916,1.6447566,2.7967875
How to Be Single,2.5069056,2.167178,0.9642229,2.379405,3.8335516,3.1833184,0.96520287,4.7346,2.8705814,3.59064,4.3930864,3.63921,0.6673041,2.100711,0.91226506,3.382351,1.0239351,4.2245913,4.285205,0.0,1.4382654,2.8783557,1.7182344,3.772818,2.7940855,3.5200908,4.0490193,0.9741433,1.6973337,1.9428316,1.2527348,1.2114468,1.0272508,1.4167994,4.7657146,1.5491042,4.6329484,4.2065926,0.76734334,1.2985855,1.3094348,1.5304817,1.373358,2.1095164,4.2473645,1.3091726,0.8417813,3.3759217,1.7614506,4.2496443,2.1212072,3.5371442,4.261193,2.7109504,0.58862424,4.4425607,4.4567266,2.9397151,3.1535373,3.3904104,4.206547,0.51669264,0.87813,4.030713,3.501454,4.249473,0.7256389,2.177055,2.8719237,4.183794,3.902807,2.6525967,1.6811608,4.7244573,1.8424194,2.6372633,0.3843531,3.3432462,3.310175,2.6283126,3.4646287,1.0625383,3.3957694,2.3070803,2.70823,4.400783,4.1075497,2.0468597,4.2541842,1.0882932,1.397441,4.326051,0.94658726,2.2359648,2.2574902,1.6080827,1.1335423,0.7134931,2.9450848,4.549373,3.4238482
Risen,2.4322286,2.363931,2.2256045,2.217997,2.9332743,2.7661726,2.0618649,3.5894902,2.65853,3.0516174,3.2206643,3.0785918,1.7080944,2.3684864,0.6177925,2.9825795,1.8319154,3.208431,3.3429797,1.4382654,0.0,2.6060417,2.111553,2.948448,2.4210653,2.8616006,3.1166472,2.1119905,1.2950102,2.1650617,0.30819884,2.362139,2.2589731,1.1913657,3.6422272,2.069879,3.4842079,3.2329257,1.7382591,2.0323586,1.7876258,1.9124162,2.5703487,2.1553123,3.1463711,2.4488647,2.1104634,2.8759675,2.3221362,3.1490352,2.4987924,2.8921883,3.2700725,2.470469,1.0305599,3.277556,3.452134,2.4645717,2.2793407,2.9969711,3.1055593,0.99942833,0.81718814,3.104712,2.9077718,3.1905775,2.0482175,2.528111,2.6594784,3.1699069,3.0661716,1.9024832,2.2468414,3.568074,1.367452,2.5123215,1.1731008,2.9511867,2.836365,2.5315068,2.8281727,2.108096,2.79743,2.1648648,2.5713112,3.2436602,2.9865599,2.0741432,3.1908395,1.7549969,2.373434,3.3650389,0.57993376,2.1928751,2.007546,1.8905708,1.6599965,1.9970944,2.1216846,3.3747046,2.8718543
The Witch,0.51342654,1.8915071,3.066359,2.169602,2.6215265,0.705036,2.9754505,3.127109,0.4426153,1.3789008,2.918934,1.5194247,2.4996314,1.7962221,2.8510633,1.2233402,2.298443,2.658693,2.6162043,2.8783557,2.6060417,0.0,1.5628885,1.533008,2.174345,1.4004028,2.7726052,2.8193276,1.9226373,1.7008755,2.6887345,2.6600158,3.1141994,2.0423684,3.0391371,1.7473708,3.0836265,2.4245708,2.5114,2.465528,1.8580583,2.2242484,3.3023653,1.8698786,2.8988767,3.2103758,2.9502385,1.0389373,2.1547458,3.031074,2.0054932,1.0122547,3.0814552,2.0000064,2.5387444,2.9586105,2.7767067,2.162552,1.7080002,1.0539242,2.605032,2.768485,2.838499,1.912094,0.8948771,2.429825,2.8610053,2.0275724,0.5016763,2.225502,2.4075937,1.6258225,2.0441542,3.158593,1.8620785,0.6061314,2.7146792,0.8177516,0.586503,0.6799541,1.2245756,3.0691268,1.3337086,2.127079,0.9003289,2.9172034,2.6210182,1.0913874,2.9689915,2.2617047,2.3745713,2.677675,2.6195502,2.1668327,2.086472,1.6077437,2.2441201,3.1254542,1.6578386,3.013761,1.1952405
Race,1.1497273,1.0816559,1.6933621,1.5028412,3.0172648,2.121562,1.6502005,4.258605,1.5499144,2.2118578,3.8363981,2.2809012,1.2390802,0.9334712,2.0482733,1.9299959,0.93240714,3.3928504,3.3446004,1.7182344,2.111553,1.5628885,0.0,2.7444248,1.8814816,2.732072,3.2386444,1.5853441,1.5969323,0.89657146,2.123572,1.2923455,1.8839663,1.5905056,4.211722,0.54738593,4.1895995,3.3152246,1.3683378,1.1191798,0.9454458,0.86462235,2.0826166,1.1009239,3.5731952,2.0284827,1.5902692,2.4335608,0.72673815,3.610838,0.90699977,2.3831499,3.5364015,1.6348478,1.6743002,3.9274724,3.611634,2.0358157,2.6344407,1.9252917,3.7118282,1.716364,1.9954027,3.102807,2.354962,3.5965083,1.5077683,0.9489658,1.4896516,3.3605905,2.938858,2.2579284,0.5975618,4.2577233,1.7484553,1.2236912,1.7365952,1.8912303,2.0361454,1.1807175,2.6014636,1.7640439,2.613002,1.4552526,1.2991611,3.9210703,3.6424353,1.0194376,3.5558074,1.2471324,1.0456432,3.4235504,1.9248308,1.3525243,1.487772,0.8452369,1.2439659,1.9098023,2.472457,3.9822564,2.5481193
Gods of Egypt,1.8605877,2.6055732,4.1360035,2.501421,1.698834,1.4405526,4.005304,1.8872558,1.6376479,1.2404846,1.5471873,1.2855152,3.510028,2.6308696,3.4224916,1.5070155,3.356893,1.3658055,1.3895247,3.772818,2.948448,1.533008,2.7444248,0.0,2.188504,1.4170072,1.7349917,3.8173003,2.4395344,2.5497038,3.148918,3.827424,4.1240587,2.6935954,1.7477416,2.8919842,1.8812238,1.041716,3.4673443,3.4959288,2.8887627,3.0781872,4.3145065,2.50674,1.6050915,4.191199,4.019182,1.4476917,3.1954975,1.8072704,2.9193487,0.5663727,1.9723214,2.2178717,3.3206477,1.6326318,1.4049541,2.0200496,1.3576009,1.424202,1.480796,3.5048554,3.4347148,0.40058586,0.7899243,1.1403501,3.9219494,2.9371278,1.6276377,0.7481255,1.4671756,1.7221236,3.1435707,1.892959,2.3557467,1.9478214,3.544816,1.3337191,1.0199001,2.005078,1.229062,4.088838,1.5859456,2.5050938,1.8652511,1.6505157,1.4850795,2.1747859,1.7422019,3.1728623,3.577838,1.4073774,3.22944,2.635492,2.4195533,2.6313183,3.0675037,4.0967784,1.5112488,1.6237776,1.4705548
Triple 9,1.9830685,1.1472527,2.963049,0.5581193,1.4622239,2.6320634,2.8818264,3.6289601,2.1400452,1.7396821,2.8579226,1.6803346,2.482514,1.3324633,2.6675115,1.7335507,2.290054,2.064607,1.9854473,2.7940855,2.4210653,2.174345,1.8814816,2.188504,0.0,3.0282116,1.6799603,2.6896427,1.994284,1.4413632,2.6391852,2.7305021,3.0165412,2.259416,3.5578265,2.0222127,3.584999,2.1456437,2.4622166,2.3478966,2.1527429,1.6377974,3.154394,1.0909513,2.2303853,3.059162,2.8840063,2.8695202,1.891915,2.199851,1.5419719,2.20035,1.9405036,0.35667685,2.6013591,3.058785,2.3219912,0.25393543,2.5614164,1.8537239,3.2038422,2.5314248,2.617014,2.4230132,2.3633962,2.9913611,2.7870224,1.5786734,2.007402,2.5908134,1.4897857,2.4331708,1.9803379,3.5729053,2.190502,2.1563933,2.7430964,1.9707164,2.1662283,2.1381586,2.836558,2.9764261,3.0548553,0.7634768,1.7832403,3.1619217,3.0494573,1.9527433,2.1020665,2.2083926,2.5636728,2.0613794,2.6368635,0.836304,0.8607017,1.9533651,2.0089624,3.0356514,2.5041943,3.0352979,2.948129
Zootopia,1.7518831,2.9558976,3.876872,3.163187,2.936795,0.75342613,3.7494454,2.1706839,1.4533455,2.203498,2.446194,2.3207297,3.2771811,2.8826413,3.2545516,2.2703178,3.1975255,2.6761742,2.7389104,3.5200908,2.8616006,1.4004028,2.732072,1.4170072,3.0282116,0.0,3.0039227,3.6364653,2.4871109,2.7864394,2.9401479,3.6461844,3.903786,2.5602255,2.0803843,2.84411,2.1362896,2.316314,3.2571454,3.376613,2.7328641,3.270561,4.1209435,2.9650996,2.8231652,4.005483,3.7562673,0.44208387,3.291849,3.0293782,3.1448374,1.1511201,3.232373,2.9935062,3.021471,2.3738544,2.6288702,2.923073,1.3380673,2.0983307,1.7029048,3.3654747,3.3119893,1.5582517,0.9489698,1.6184647,3.6940095,3.1694129,1.5863948,1.7872845,2.739762,1.5780281,3.1667643,2.2604806,2.2874825,1.9029748,3.2322106,1.85672,1.2086711,1.9902487,0.28679782,3.8228118,0.27402744,3.1405497,1.9411672,2.2307634,1.8762332,2.06808,2.9935024,3.031407,3.425997,2.717389,2.9637601,3.2254133,3.0483139,2.580031,2.9900506,3.848262,1.4326476,2.483241,0.28690493
London Has Fallen,2.8820043,2.7113981,4.389641,2.1716502,0.24195242,2.9434662,4.2391777,2.682192,2.7886894,1.8631976,1.7402613,1.7515395,3.8446264,2.8510132,3.6041665,2.1696522,3.6719513,0.62047994,0.5632018,4.0490193,3.1166472,2.7726052,3.2386444,1.7349917,1.6799603,3.0039227,0.0,4.1437798,2.9044554,2.890737,3.400067,4.2333174,4.4562616,3.2196426,2.5716443,3.4138787,2.6821258,0.93844783,3.8324401,3.719105,3.4515135,3.1114006,4.6326118,2.5911124,0.8043163,4.5129194,4.3000226,3.038367,3.3821058,0.7812686,3.056371,2.1445868,0.33686578,1.9251851,3.698864,2.0413544,0.90554917,1.4523869,2.529909,2.2624834,2.4616563,3.673459,3.6256545,1.6966282,2.3898997,2.1684263,4.2321873,3.0546048,2.6853583,1.6961246,0.45417687,2.7369099,3.4233332,2.6020248,2.9769425,2.9648633,3.8844829,2.363983,2.4169288,2.979768,2.8482342,4.3066416,3.127012,2.2822192,2.6302643,2.2344005,2.3098686,3.0193074,0.5593206,3.5691476,4.0484314,0.6006539,3.5394456,2.412928,2.2300448,3.2245262,3.3692596,4.4110074,2.6198592,1.8976852,3.050279
Whiskey Tango Foxtrot,2.3486385,1.8216043,1.0890979,2.256533,3.9281356,3.1945925,1.3237143,4.9147334,2.7980595,3.5562155,4.555877,3.6085322,0.82225394,1.7501031,1.7079484,3.300645,1.1616442,4.333913,4.3658633,0.9741433,2.1119905,2.8193276,1.5853441,3.8173003,2.6896427,3.6364653,4.1437798,0.0,1.776413,1.5444597,2.0025854,0.6336725,0.38384238,1.5592247,4.9369993,1.226716,4.8189077,4.2936416,0.45549896,1.4965013,1.0145841,1.569711,0.59479976,1.839508,4.3926525,0.52630454,0.9804766,3.4120977,1.6516907,4.4000893,1.8857838,3.5320911,4.378983,2.545004,1.206101,4.596658,4.557553,2.8624675,3.2571473,3.3091311,4.383234,1.3320827,1.5180619,4.1068034,3.4974387,4.3942423,0.5411985,2.0028663,2.7990556,4.2851987,3.9610324,2.748432,1.6122737,4.8986864,1.9336377,2.5881069,1.1846153,3.2757146,3.2746496,2.5721583,3.5268445,1.4878064,3.5378728,2.1480775,2.647651,4.560841,4.2731795,1.8231082,4.3907495,0.66179913,0.86027044,4.4135084,1.7117354,2.079082,2.1672535,1.3248028,0.8523883,0.5629781,3.0421793,4.7106256,3.4997962
The Other Side of the Door,1.6742302,1.8019301,2.386029,1.7606921,2.7090108,2.230727,2.359195,3.36298,2.099178,2.3960862,2.9436436,2.4413004,1.7297592,1.8164203,1.4283758,2.2367744,1.8229353,2.9273748,3.0393898,1.6973337,1.2950102,1.9226373,1.5969323,2.4395344,1.994284,2.4871109,2.9044554,1.776413,0.0,1.3060104,1.3996868,1.92673,1.961633,0.37982258,3.4215915,1.3361086,3.2583501,2.935922,1.4974948,2.1578865,1.0396523,1.7623358,2.1780212,1.3741323,2.9245498,2.0367985,2.238446,2.3777094,2.082779,2.9408228,2.146254,2.2882123,3.1139271,1.918741,1.3208017,2.9698527,3.232381,2.0666926,1.6745087,2.2504704,2.8360052,1.4829096,1.2340755,2.6699262,2.3140283,2.8917723,1.9641271,2.2328584,2.1104465,2.7612615,2.7772508,1.1711404,2.0088148,3.3303776,0.3086252,1.7821928,1.5636482,2.226954,2.2079446,1.8026124,2.3420255,2.4790576,2.474051,1.5562447,2.142039,2.9420419,2.6753786,1.1244519,2.994848,1.2703784,1.7936437,3.1045396,1.377194,1.657465,1.3845377,0.9704963,1.3137171,1.8831717,1.4554869,3.084698,2.4522185
10 Cloverfield Lane,1.2496375,0.68043745,2.089616,1.1061549,2.6770384,2.2402925,2.126692,3.9808471,1.7262638,2.1131487,3.4786615,2.155305,1.5508721,0.6799555,2.1642592,1.864265,1.4485286,3.0622008,3.039388,1.9428316,2.1650617,1.7008755,0.89657146,2.5497038,1.4413632,2.7864394,2.890737,1.5444597,1.3060104,0.0,2.2455223,1.4889278,1.8654467,1.4260985,3.9553833,0.7152201,3.9091277,3.020321,1.3895437,1.7013696,0.8782482,1.1668147,1.9780903,0.5145933,3.2055724,1.888246,1.9779255,2.5118053,1.2511739,3.2264862,1.1012956,2.277656,3.1691284,1.2029028,1.8123614,3.5652988,3.305466,1.6018474,2.3868003,1.8958257,3.459111,1.9055831,2.0080714,2.8768775,2.308675,3.354091,1.7420899,1.2384117,1.6688415,3.08983,2.6389163,2.0187368,1.2528727,3.9547336,1.4906929,1.5148294,1.9552232,1.9124658,2.0439987,1.4924517,2.5946424,2.2711377,2.748863,0.9653237,1.5436767,3.5773997,3.3368878,0.87585825,3.1875331,1.0762053,1.2572818,3.1157758,2.0925438,0.96191245,1.0262445,0.66389656,1.0539273,1.9705352,2.2245328,3.6310306,2.6373503
The Young Messiah,2.4946072,2.4626913,2.0674393,2.401429,3.2151077,2.834445,1.9076953,3.7833261,2.731019,3.246003,3.4746072,3.2831237,1.5839094,2.4444501,0.43881673,3.1537747,1.7519025,3.485182,3.6140633,1.2527348,0.30819884,2.6887345,2.123572,3.148918,2.6391852,2.9401479,3.400067,2.0025854,1.3996868,2.2455223,0.0,2.2576122,2.1213355,1.2137829,3.8379166,2.0642283,3.6762216,3.4873557,1.6331629,1.963261,1.7587427,1.958298,2.4455168,2.2879446,3.432659,2.3308003,1.9528408,2.9433556,2.3316786,3.443324,2.5540738,3.0519104,3.5614622,2.6654737,0.8496172,3.516116,3.7141693,2.6951222,2.4319634,3.1566772,3.2925406,0.8644894,0.71338737,3.3172846,3.0438192,3.389853,1.9049842,2.5846376,2.743621,3.3960545,3.3315992,2.025135,2.2414439,3.770528,1.4534444,2.5792773,0.96262276,3.0959356,2.963568,2.5982094,2.921987,1.9484612,2.854915,2.3443806,2.656643,3.4667819,3.190566,2.1198547,3.481548,1.7050129,2.2969882,3.6341057,0.3365994,2.355243,2.1999028,1.9095513,1.638385,1.8340814,2.2626169,3.6234896,2.9386606
The Perfect Match,2.1910653,1.7921125,1.0825543,2.2520878,4.007887,3.1152406,1.3029282,5.0955677,2.6608465,3.4007251,4.7169175,3.4618862,0.9201711,1.6831266,1.9766582,3.0991914,1.0350116,4.4175396,4.4162416,1.2114468,2.362139,2.6600158,1.2923455,3.827424,2.7305021,3.6461844,4.2333174,0.6336725,1.92673,1.4889278,2.2576122,0.0,0.7615205,1.7426891,5.100557,0.9767726,5.0054545,4.374425,0.8315701,1.3388317,1.0192685,1.4266685,0.90340084,1.7770125,4.521945,0.91229105,0.9829235,3.3715792,1.3713416,4.5320473,1.7060301,3.4844866,4.4951735,2.5190327,1.5001057,4.769607,4.6590166,2.9228735,3.3714004,3.1062179,4.5471277,1.5434314,1.8102238,4.155148,3.4391828,4.5244846,0.6299437,1.8003075,2.649641,4.3647,4.003703,2.8701587,1.310483,5.086042,2.0906355,2.32973,1.4532386,3.079812,3.168494,2.2975512,3.530874,1.4581127,3.524891,2.1361036,2.4963944,4.741103,4.448428,1.7459983,4.5131135,0.9702418,0.34901407,4.4858894,1.9632788,2.034035,2.169444,1.2528313,1.1689068,0.92084587,3.1577153,4.8665767,3.4791315
