"node_1","node_2","edge"
20391,16010888,5
9688460,16010888,5
9707326,16010888,5
3216,20539695,4
9688247,20539695,5
279084,20539695,5
9701404,20539695,1
16120407,20539695,5
23440086,20539695,5
15843,20539695,5
19894,20539695,5
9703907,20539695,5
9758081,20539695,5
16010829,20539695,5
24717739,20539695,5
16011698,20539695,5
19874,20539695,5
20250,20539695,4
20391,20539695,5
9688460,20539695,5
9707326,20539695,5
16010888,20539695,5
9688247,23440019,3
279084,23440019,2
16120407,23440019,2
15843,23440019,5
19894,23440019,5
9703907,23440019,5
9758081,23440019,5
16010829,23440019,5
23440008,23440019,2
24717739,23440019,5
16011698,23440019,5
19874,23440019,5
20391,23440019,4
9688460,23440019,5
9707326,23440019,5
16010888,23440019,5
20539695,23440019,5
9686991,26142152,3
3216,26142152,5
9688247,26142152,5
279084,26142152,5
9701404,26142152,1
16120407,26142152,5
23440086,26142152,2
15843,26142152,5
19894,26142152,5
9703907,26142152,5
9758081,26142152,4
16010829,26142152,5
24717739,26142152,5
16011698,26142152,5
19874,26142152,5
20250,26142152,1
20391,26142152,5
9688460,26142152,4
9707326,26142152,5
16010888,26142152,5
20539695,26142152,5
23440019,26142152,5
398004,20208,1
9701404,20208,2
9758081,20208,5
23440008,20208,5
19874,20208,5
20250,20208,5
20391,20208,5
9688460,20208,5
16010888,20208,5
2906,16603612,5
958,16603612,1
24820735,16603612,5
4746,16603612,5
7486,16603612,5
13432,16603612,5
17294,16603612,3
18467,16603612,5
8820177,16603612,5
9686079,16603612,5
9703637,16603612,5
9712166,16603612,5
15963329,16603612,5
15963330,16603612,5
9686586,16603612,5
13992843,16603612,5
15885112,16603612,5
16011530,16603612,5
16011698,16603612,2
16735101,16603612,5
15843,9690157,5
19894,9690157,5
9703907,9690157,5
9758081,9690157,5
16010829,9690157,5
24717739,9690157,5
16011698,9690157,2
19874,9690157,3
9688460,9690157,5
9707326,9690157,5
20539695,9690157,5
23440019,9690157,5
26142152,9690157,5
9688247,9690176,1
279084,9690176,1
16120407,9690176,2
15843,9690176,5
19894,9690176,5
9703907,9690176,5
9758081,9690176,5
16010829,9690176,5
23440008,9690176,1
24717739,9690176,5
16011698,9690176,5
19874,9690176,5
20391,9690176,1
9688460,9690176,5
9707326,9690176,5
16010888,9690176,5
20539695,9690176,5
23440019,9690176,5
26142152,9690176,5
9690157,9690176,5
15843,24717900,5
9703907,24717900,5
9758081,24717900,5
16010829,24717900,5
23440008,24717900,5
24717739,24717900,5
19874,24717900,5
9688460,24717900,5
9707326,24717900,5
16010888,24717900,5
23440019,24717900,5
20208,24717900,5
9690157,24717900,5
9690176,24717900,5
2906,1128,5
541,1128,5
958,1128,5
396,1128,2
9686991,1128,3
8044,1128,1
279084,1128,5
16120407,1128,5
23440086,1128,1
4746,1128,5
13432,1128,2
17294,1128,5
18467,1128,3
8820177,1128,5
9686079,1128,5
9712166,1128,2
15963330,1128,2
9686586,1128,5
13992843,1128,1
16603612,1128,1
2906,1715,3
541,1715,5
958,1715,3
9686991,1715,3
279084,1715,5
16120407,1715,5
17294,1715,1
9686586,1715,5
1128,1715,5
1887,2615,1
2906,2615,5
541,2615,5
958,2615,3
396,2615,2
9686991,2615,4
3216,2615,2
8044,2615,4
279084,2615,2
9701404,2615,1
16120407,2615,5
7486,2615,4
1128,2615,2
1715,2615,2
1887,5987,2
2906,5987,5
541,5987,5
958,5987,5
396,5987,5
9686991,5987,3
279084,5987,5
16120407,5987,5
23440086,5987,2
18467,5987,2
9686586,5987,1
20208,5987,1
1128,5987,3
1715,5987,1
2615,5987,4
2906,6137,5
541,6137,5
958,6137,4
396,6137,2
9686991,6137,5
9688247,6137,2
279084,6137,5
16120407,6137,5
23440086,6137,3
17294,6137,1
18467,6137,2
9686079,6137,2
9686586,6137,5
16011698,6137,2
20539695,6137,5
26142152,6137,5
16603612,6137,1
1128,6137,5
1715,6137,5
2615,6137,1
5987,6137,4
2906,8068,5
541,8068,3
958,8068,4
396,8068,2
9686991,8068,3
8044,8068,2
279084,8068,5
16120407,8068,5
4746,8068,5
7486,8068,5
13432,8068,3
17294,8068,4
18467,8068,2
8820177,8068,5
9686079,8068,3
9712166,8068,3
15963329,8068,2
15963330,8068,3
26837909,8068,2
9686586,8068,5
13992843,8068,3
15885112,8068,1
16011530,8068,3
16011698,8068,4
16735101,8068,2
16603612,8068,1
1128,8068,3
2615,8068,4
5987,8068,2
6137,8068,3
2906,8677,5
541,8677,5
958,8677,5
9686991,8677,3
24820735,8677,5
279084,8677,5
16120407,8677,4
4746,8677,5
7486,8677,3
13432,8677,5
17294,8677,5
18467,8677,5
8820177,8677,5
9686079,8677,5
9703637,8677,1
9712166,8677,5
15963329,8677,3
15963330,8677,5
9686586,8677,5
13992843,8677,5
15885112,8677,5
16011530,8677,5
16011698,8677,5
16735101,8677,5
16603612,8677,4
1128,8677,5
1715,8677,5
2615,8677,3
5987,8677,5
6137,8677,5
8068,8677,5
1887,9078,2
2906,9078,5
541,9078,4
958,9078,4
396,9078,3
9686991,9078,5
3216,9078,2
8044,9078,4
279084,9078,5
398004,9078,1
9701404,9078,1
16120407,9078,5
7486,9078,3
17294,9078,1
1128,9078,1
1715,9078,1
2615,9078,5
5987,9078,3
6137,9078,1
8068,9078,3
8677,9078,2
2906,9701748,5
541,9701748,5
958,9701748,5
9686991,9701748,5
279084,9701748,5
16120407,9701748,5
23440086,9701748,2
4746,9701748,5
7486,9701748,2
13432,9701748,5
17294,9701748,5
18467,9701748,5
8820177,9701748,5
9686079,9701748,5
9686586,9701748,5
1128,9701748,5
1715,9701748,5
2615,9701748,5
5987,9701748,5
6137,9701748,5
8068,9701748,5
8677,9701748,5
9078,9701748,2
2906,9701781,5
541,9701781,5
958,9701781,5
9686991,9701781,3
279084,9701781,5
16120407,9701781,5
4746,9701781,5
13432,9701781,5
17294,9701781,5
18467,9701781,5
8820177,9701781,5
9686079,9701781,5
9686586,9701781,5
16603612,9701781,3
1128,9701781,5
1715,9701781,5
2615,9701781,3
5987,9701781,5
6137,9701781,5
8068,9701781,3
8677,9701781,5
9701748,9701781,5
2906,26837974,5
541,26837974,2
958,26837974,1
396,26837974,3
9686991,26837974,1
3216,26837974,1
8044,26837974,1
398004,26837974,3
9701404,26837974,2
7486,26837974,5
18467,26837974,3
9686079,26837974,1
26837909,26837974,1
16603612,26837974,2
2615,26837974,4
5987,26837974,5
8068,26837974,3
8677,26837974,1
9078,26837974,3
9701748,26837974,3
1887,26840705,5
2906,26840705,5
541,26840705,5
958,26840705,5
396,26840705,5
9686991,26840705,5
279084,26840705,5
16120407,26840705,5
23440086,26840705,5
4746,26840705,5
13432,26840705,2
17294,26840705,5
18467,26840705,2
8820177,26840705,5
9686079,26840705,5
9686586,26840705,5
1128,26840705,5
1715,26840705,5
2615,26840705,5
5987,26840705,5
6137,26840705,5
8068,26840705,5
8677,26840705,5
9078,26840705,4
9701748,26840705,5
9701781,26840705,5
2906,28451386,5
541,28451386,5
958,28451386,5
396,28451386,1
9686991,28451386,4
8044,28451386,1
279084,28451386,5
16120407,28451386,5
23440086,28451386,1
4746,28451386,5
7486,28451386,2
13432,28451386,5
17294,28451386,5
18467,28451386,5
8820177,28451386,5
9686079,28451386,5
9686586,28451386,5
16603612,28451386,3
1128,28451386,5
1715,28451386,5
2615,28451386,5
5987,28451386,5
6137,28451386,5
8068,28451386,5
8677,28451386,5
9078,28451386,2
9701748,28451386,5
9701781,28451386,5
26837974,28451386,2
26840705,28451386,5
398004,9717682,1
9701404,9717682,3
15843,9717682,5
19894,9717682,5
9703907,9717682,1
9758081,9717682,5
16010829,9717682,5
23440008,9717682,5
24717739,9717682,5
19874,9717682,5
20250,9717682,5
20391,9717682,1
9688460,9717682,5
9707326,9717682,5
16010888,9717682,5
20208,9717682,5
24717900,9717682,5
15843,9688537,5
19894,9688537,5
9703907,9688537,5
9758081,9688537,5
16010829,9688537,5
23440008,9688537,2
24717739,9688537,5
19874,9688537,1
9688460,9688537,1
9707326,9688537,5
16010888,9688537,3
23440019,9688537,5
9690157,9688537,5
9690176,9688537,5
24717900,9688537,5
9717682,9688537,4
1887,8060,5
2906,8060,3
9686991,8060,1
3216,8060,1
279084,8060,3
9701404,8060,1
16120407,8060,3
23440086,8060,2
2615,8060,1
5987,8060,1
26840705,8060,3
15843,26840606,5
19894,26840606,5
9703907,26840606,5
9758081,26840606,5
16010829,26840606,5
23440008,26840606,5
24717739,26840606,5
20250,26840606,3
9688460,26840606,5
9707326,26840606,5
16010888,26840606,5
9690176,26840606,3
24717900,26840606,3
9717682,26840606,5
9688537,26840606,5
3216,20839,2
9688247,20839,2
398004,20839,2
9701404,20839,4
15843,20839,5
19894,20839,5
9703907,20839,5
9758081,20839,5
16010829,20839,5
23440008,20839,5
24717739,20839,5
19874,20839,5
20250,20839,5
20391,20839,5
9688460,20839,5
9707326,20839,5
16010888,20839,5
20539695,20839,3
23440019,20839,5
26142152,20839,5
20208,20839,2
9690157,20839,5
9690176,20839,5
24717900,20839,5
9717682,20839,4
9688537,20839,3
2906,4572,4
541,4572,4
958,4572,2
396,4572,1
9686991,4572,3
279084,4572,3
1128,4572,1
1715,4572,1
2615,4572,1
5987,4572,2
6137,4572,2
8068,4572,2
8677,4572,5
9078,4572,2
9701748,4572,5
9701781,4572,5
26837974,4572,2
26840705,4572,5
28451386,4572,5
9688247,9708100,4
279084,9708100,3
16120407,9708100,1
15843,9708100,5
19894,9708100,5
9703907,9708100,5
9758081,9708100,5
16010829,9708100,5
23440008,9708100,5
24717739,9708100,5
16011698,9708100,5
19874,9708100,3
20250,9708100,5
20391,9708100,4
9688460,9708100,5
9707326,9708100,5
16010888,9708100,5
20539695,9708100,5
23440019,9708100,5
26142152,9708100,5
9690157,9708100,5
9690176,9708100,5
9717682,9708100,1
26840606,9708100,5
20839,9708100,5
1887,1387711,4
2906,1387711,4
541,1387711,1
396,1387711,1
9686991,1387711,2
3216,1387711,1
9688247,1387711,1
8044,1387711,1
279084,1387711,2
9687651,1387711,1
9701404,1387711,1
16120407,1387711,2
2615,1387711,1
9078,1387711,1
26840705,1387711,2
2906,18890,5
541,18890,3
958,18890,1
396,18890,1
9686991,18890,3
3216,18890,1
9688247,18890,2
279084,18890,5
16120407,18890,3
23440086,18890,1
16011698,18890,1
20391,18890,2
20539695,18890,5
23440019,18890,3
26142152,18890,5
9690176,18890,1
2615,18890,1
5987,18890,5
6137,18890,4
8068,18890,2
8677,18890,4
9078,18890,1
9701748,18890,5
9701781,18890,4
26837974,18890,3
26840705,18890,5
28451386,18890,5
20839,18890,1
4572,18890,3
9708100,18890,3
15843,9685807,5
9703907,9685807,5
9758081,9685807,5
16010829,9685807,5
23440008,9685807,5
24717739,9685807,5
19874,9685807,5
20250,9685807,3
20391,9685807,2
9688460,9685807,5
9707326,9685807,5
16010888,9685807,5
23440019,9685807,5
20208,9685807,5
9690157,9685807,5
9690176,9685807,5
24717900,9685807,5
9717682,9685807,5
9688537,9685807,5
26840606,9685807,4
20839,9685807,5
1887,1336,1
2906,1336,5
541,1336,5
958,1336,4
396,1336,1
9686991,1336,5
279084,1336,5
16120407,1336,5
23440086,1336,1
4746,1336,1
17294,1336,2
9686586,1336,5
1128,1336,5
1715,1336,5
2615,1336,3
5987,1336,3
6137,1336,5
8068,1336,2
8677,1336,5
9078,1336,2
9701748,1336,5
9701781,1336,5
26840705,1336,5
28451386,1336,5
4572,1336,1
1887,2218,5
2906,2218,5
541,2218,5
958,2218,5
396,2218,3
9686991,2218,5
3216,2218,1
9688247,2218,5
8044,2218,1
279084,2218,5
16120407,2218,5
23440086,2218,5
1128,2218,4
1715,2218,4
2615,2218,5
5987,2218,5
6137,2218,4
8068,2218,3
8677,2218,5
9078,2218,2
9701748,2218,5
9701781,2218,5
26840705,2218,5
28451386,2218,5
8060,2218,1
1387711,2218,3
18890,2218,1
1336,2218,5
958,16088708,1
24820735,16088708,5
4746,16088708,5
13432,16088708,5
17294,16088708,4
18467,16088708,5
8820177,16088708,5
9686079,16088708,5
9703637,16088708,5
9712166,16088708,5
15963329,16088708,5
15963330,16088708,5
9686586,16088708,5
13992843,16088708,5
16011530,16088708,3
16735101,16088708,5
16603612,16088708,5
1128,16088708,1
9701781,16088708,5
24820735,16603605,5
4746,16603605,5
7486,16603605,2
13432,16603605,5
17294,16603605,3
18467,16603605,1
8820177,16603605,5
9686079,16603605,5
9703637,16603605,5
9712166,16603605,5
15963329,16603605,5
15963330,16603605,5
26837909,16603605,2
9686586,16603605,5
13992843,16603605,5
15885112,16603605,5
16011530,16603605,5
16011698,16603605,5
16735101,16603605,5
16603612,16603605,2
8068,16603605,2
8677,16603605,5
9701404,4898,1
15843,4898,5
19894,4898,5
9703907,4898,2
9758081,4898,5
16010829,4898,5
23440008,4898,5
24717739,4898,5
19874,4898,4
20250,4898,5
20391,4898,2
9688460,4898,5
9707326,4898,5
16010888,4898,5
23440019,4898,5
20208,4898,5
9690157,4898,3
9690176,4898,3
24717900,4898,5
9717682,4898,5
26840606,4898,4
20839,4898,3
9708100,4898,5
9685807,4898,5
1887,8055,3
2906,8055,5
541,8055,3
958,8055,1
396,8055,5
9686991,8055,4
3216,8055,1
9688247,8055,1
8044,8055,1
279084,8055,5
9701404,8055,1
16120407,8055,5
23440086,8055,1
1128,8055,1
1715,8055,1
2615,8055,2
5987,8055,3
6137,8055,2
8068,8055,1
9078,8055,2
9701748,8055,1
26840705,8055,5
28451386,8055,1
1336,8055,2
2218,8055,3
398004,9685776,1
9701404,9685776,2
15843,9685776,5
19894,9685776,5
9703907,9685776,3
9758081,9685776,5
16010829,9685776,5
23440008,9685776,5
24717739,9685776,5
19874,9685776,4
20250,9685776,4
20391,9685776,3
9688460,9685776,2
9707326,9685776,5
16010888,9685776,5
20539695,9685776,1
9690176,9685776,2
24717900,9685776,1
9717682,9685776,5
9688537,9685776,3
26840606,9685776,3
20839,9685776,4
9708100,9685776,1
9685807,9685776,2
4898,9685776,3
9688247,9707299,3
279084,9707299,2
9701404,9707299,1
16120407,9707299,1
15843,9707299,5
19894,9707299,5
9703907,9707299,5
9758081,9707299,5
16010829,9707299,5
23440008,9707299,5
24717739,9707299,5
16011698,9707299,5
19874,9707299,5
20250,9707299,5
20391,9707299,5
9688460,9707299,5
9707326,9707299,5
16010888,9707299,5
20539695,9707299,5
23440019,9707299,5
26142152,9707299,5
20208,9707299,2
9690157,9707299,3
9690176,9707299,5
24717900,9707299,3
9717682,9707299,3
26840606,9707299,1
20839,9707299,5
9708100,9707299,5
18890,9707299,3
9685807,9707299,5
4898,9707299,5
9685776,9707299,4
2906,1258,2
541,1258,2
958,1258,3
9686991,1258,1
279084,1258,4
16120407,1258,3
23440086,1258,2
4746,1258,1
17294,1258,1
8820177,1258,1
9686586,1258,2
16011698,1258,1
20539695,1258,2
26142152,1258,2
1128,1258,2
1715,1258,2
5987,1258,1
6137,1258,4
8068,1258,1
8677,1258,5
9701748,1258,5
9701781,1258,5
26840705,1258,5
28451386,1258,5
4572,1258,1
18890,1258,1
1336,1258,1
2218,1258,1
1887,17288,3
2906,17288,5
541,17288,5
958,17288,4
396,17288,4
9686991,17288,5
3216,17288,2
9688247,17288,4
8044,17288,3
279084,17288,5
398004,17288,1
9687651,17288,1
9701404,17288,1
16120407,17288,5
7486,17288,2
26142152,17288,1
1128,17288,3
1715,17288,1
2615,17288,5
5987,17288,5
6137,17288,2
8068,17288,5
8677,17288,1
9078,17288,5
9701748,17288,3
9701781,17288,1
26837974,17288,3
26840705,17288,5
28451386,17288,3
8060,17288,1
1387711,17288,3
18890,17288,2
1336,17288,2
2218,17288,5
8055,17288,2
2906,659427,5
541,659427,5
958,659427,5
9686991,659427,3
279084,659427,4
16120407,659427,3
4746,659427,1
17294,659427,2
18467,659427,2
8820177,659427,2
9686079,659427,3
9686586,659427,5
1128,659427,5
1715,659427,5
2615,659427,3
5987,659427,4
6137,659427,5
8677,659427,5
9701748,659427,5
9701781,659427,5
26837974,659427,1
26840705,659427,5
28451386,659427,5
4572,659427,4
18890,659427,1
1336,659427,5
2218,659427,3
1258,659427,2
17288,659427,3
2906,9689688,5
541,9689688,4
958,9689688,5
9686991,9689688,2
8044,9689688,2
4746,9689688,2
7486,9689688,5
8820177,9689688,2
1128,9689688,2
1715,9689688,3
2615,9689688,5
5987,9689688,3
8068,9689688,2
8677,9689688,5
9078,9689688,2
9701748,9689688,5
9701781,9689688,5
26837974,9689688,4
26840705,9689688,5
28451386,9689688,5
4572,9689688,4
18890,9689688,1
2218,9689688,3
17288,9689688,5
659427,9689688,5
2906,26837949,3
541,26837949,3
958,26837949,2
8044,26837949,1
279084,26837949,3
16120407,26837949,1
23440086,26837949,3
4746,26837949,2
8820177,26837949,2
9686586,26837949,1
20539695,26837949,5
1128,26837949,3
1715,26837949,2
2615,26837949,2
5987,26837949,2
6137,26837949,5
8068,26837949,2
8677,26837949,5
9701748,26837949,5
9701781,26837949,5
26840705,26837949,5
28451386,26837949,5
4572,26837949,5
18890,26837949,3
1336,26837949,1
2218,26837949,5
1258,26837949,3
17288,26837949,1
659427,26837949,5
9689688,26837949,4
2906,28451508,5
541,28451508,5
958,28451508,3
9686991,28451508,2
279084,28451508,5
16120407,28451508,5
4746,28451508,1
8820177,28451508,1
9686586,28451508,3
1128,28451508,5
1715,28451508,5
2615,28451508,3
5987,28451508,3
6137,28451508,5
8677,28451508,5
9078,28451508,2
9701748,28451508,5
9701781,28451508,5
26840705,28451508,5
28451386,28451508,5
4572,28451508,3
1336,28451508,5
2218,28451508,3
1258,28451508,1
17288,28451508,1
659427,28451508,5
9689688,28451508,5
26837949,28451508,3
2906,4126,3
958,4126,3
8044,4126,2
4746,4126,5
7486,4126,5
13432,4126,3
17294,4126,1
8820177,4126,5
15963329,4126,2
26837909,4126,2
16603612,4126,1
2615,4126,1
8068,4126,1
9078,4126,1
9701748,4126,3
26837974,4126,1
9689688,4126,3
9688247,19658,1
15843,19658,5
19894,19658,5
9703907,19658,5
9758081,19658,5
16010829,19658,5
24717739,19658,5
16011698,19658,3
19874,19658,3
20391,19658,1
9688460,19658,3
9707326,19658,5
16010888,19658,1
20539695,19658,5
23440019,19658,5
26142152,19658,5
9690157,19658,5
9690176,19658,5
24717900,19658,5
9688537,19658,5
20839,19658,2
9708100,19658,4
18890,19658,1
9685807,19658,2
9707299,19658,5
16120407,16620677,1
15843,16620677,5
19894,16620677,5
9703907,16620677,5
9758081,16620677,5
16010829,16620677,5
23440008,16620677,1
24717739,16620677,5
16011698,16620677,2
19874,16620677,3
9688460,16620677,5
9707326,16620677,5
16010888,16620677,5
20539695,16620677,5
23440019,16620677,5
26142152,16620677,5
9690157,16620677,5
9690176,16620677,5
24717900,16620677,5
9717682,16620677,1
9688537,16620677,5
26840606,16620677,5
20839,16620677,5
9708100,16620677,3
9685807,16620677,5
4898,16620677,1
9685776,16620677,2
9707299,16620677,5
19658,16620677,5
1887,20539728,3
2906,20539728,5
541,20539728,5
958,20539728,5
396,20539728,4
9686991,20539728,5
279084,20539728,5
16120407,20539728,5
23440086,20539728,5
4746,20539728,2
13432,20539728,1
17294,20539728,5
8820177,20539728,2
9686079,20539728,2
9686586,20539728,5
1128,20539728,5
1715,20539728,5
2615,20539728,3
5987,20539728,5
6137,20539728,5
8068,20539728,3
8677,20539728,5
9078,20539728,2
9701748,20539728,5
9701781,20539728,5
26840705,20539728,5
28451386,20539728,5
4572,20539728,3
1387711,20539728,1
18890,20539728,2
1336,20539728,5
2218,20539728,5
8055,20539728,3
1258,20539728,4
17288,20539728,3
659427,20539728,5
9689688,20539728,4
26837949,20539728,5
28451508,20539728,5
1887,26839935,5
2906,26839935,5
541,26839935,1
958,26839935,2
396,26839935,2
9686991,26839935,5
3216,26839935,1
9688247,26839935,5
279084,26839935,5
9687651,26839935,5
9701404,26839935,1
16120407,26839935,5
23440086,26839935,5
19894,26839935,1
26142152,26839935,3
1128,26839935,1
1715,26839935,2
5987,26839935,2
9078,26839935,1
26840705,26839935,5
8060,26839935,4
1387711,26839935,4
1336,26839935,3
2218,26839935,5
8055,26839935,3
17288,26839935,3
28451508,26839935,1
20539728,26839935,5
2906,20539760,3
541,20539760,4
958,20539760,2
396,20539760,1
9686991,20539760,4
9688247,20539760,4
279084,20539760,5
16120407,20539760,5
1128,20539760,5
1715,20539760,4
2615,20539760,1
6137,20539760,2
8677,20539760,4
9078,20539760,1
9701748,20539760,5
9701781,20539760,5
26840705,20539760,5
