.tail,.head,weight
Kirk Schuring,Nickie Antonio,92
Timothy Schaffer,Nickie Antonio,110
Matt Huffman,Nickie Antonio,28
Niraj Antani,Nickie Antonio,24
Dale Martin,Nickie Antonio,22
Louis Blessing,Bob Peterson,110
Stephanie Kunze,Bob Peterson,87
Mark Romanchuk,Bob Peterson,82
Bill Reineke,Bob Peterson,117
Hearcel Craig,Bob Peterson,92
Nathan Manning,Bob Peterson,75
Robert McColley,Bob Peterson,90
Stephen Huffman,Bob Peterson,94
Cecil Thomas,Bob Peterson,105
Theresa Gavarone,Bob Peterson,125
Frank Hoagland,Bob Peterson,100
Steve Wilson,Bob Peterson,106
George Lang,Bob Peterson,90
Tina Maharath,Bob Peterson,64
Michael Rulli,Bob Peterson,94
Jerry Cirino,Bob Peterson,131
Sandra O'Brien,Bob Peterson,75
Kirk Schuring,Bob Peterson,70
Timothy Schaffer,Bob Peterson,117
Matt Huffman,Bob Peterson,21
Niraj Antani,Bob Peterson,34
Dale Martin,Bob Peterson,10
Stephanie Kunze,Louis Blessing,109
Mark Romanchuk,Louis Blessing,108
Bill Reineke,Louis Blessing,155
Hearcel Craig,Louis Blessing,142
Nathan Manning,Louis Blessing,117
Robert McColley,Louis Blessing,90
Stephen Huffman,Louis Blessing,126
Cecil Thomas,Louis Blessing,170
Theresa Gavarone,Louis Blessing,162
Frank Hoagland,Louis Blessing,128
Steve Wilson,Louis Blessing,142
George Lang,Louis Blessing,109
Tina Maharath,Louis Blessing,93
Michael Rulli,Louis Blessing,147
Jerry Cirino,Louis Blessing,186
Sandra O'Brien,Louis Blessing,92
Kirk Schuring,Louis Blessing,96
Timothy Schaffer,Louis Blessing,140
Matt Huffman,Louis Blessing,22
Niraj Antani,Louis Blessing,35
Dale Martin,Louis Blessing,12
Mark Romanchuk,Stephanie Kunze,80
Bill Reineke,Stephanie Kunze,104
Hearcel Craig,Stephanie Kunze,122
Nathan Manning,Stephanie Kunze,91
Robert McColley,Stephanie Kunze,60
Stephen Huffman,Stephanie Kunze,89
Cecil Thomas,Stephanie Kunze,122
Theresa Gavarone,Stephanie Kunze,119
Frank Hoagland,Stephanie Kunze,80
Steve Wilson,Stephanie Kunze,92
George Lang,Stephanie Kunze,70
Tina Maharath,Stephanie Kunze,89
Michael Rulli,Stephanie Kunze,97
Jerry Cirino,Stephanie Kunze,114
Sandra O'Brien,Stephanie Kunze,63
Kirk Schuring,Stephanie Kunze,81
Timothy Schaffer,Stephanie Kunze,99
Matt Huffman,Stephanie Kunze,24
Niraj Antani,Stephanie Kunze,22
Dale Martin,Stephanie Kunze,12
Bill Reineke,Mark Romanchuk,127
Hearcel Craig,Mark Romanchuk,102
Nathan Manning,Mark Romanchuk,85
Robert McColley,Mark Romanchuk,78
Stephen Huffman,Mark Romanchuk,85
Cecil Thomas,Mark Romanchuk,115
Theresa Gavarone,Mark Romanchuk,117
Frank Hoagland,Mark Romanchuk,95
Steve Wilson,Mark Romanchuk,102
George Lang,Mark Romanchuk,106
Tina Maharath,Mark Romanchuk,68
Michael Rulli,Mark Romanchuk,113
Jerry Cirino,Mark Romanchuk,148
Sandra O'Brien,Mark Romanchuk,67
Kirk Schuring,Mark Romanchuk,72
Timothy Schaffer,Mark Romanchuk,126
Matt Huffman,Mark Romanchuk,20
Niraj Antani,Mark Romanchuk,39
Dale Martin,Mark Romanchuk,15
Hearcel Craig,Bill Reineke,135
Nathan Manning,Bill Reineke,118
Robert McColley,Bill Reineke,107
Stephen Huffman,Bill Reineke,126
Cecil Thomas,Bill Reineke,154
Theresa Gavarone,Bill Reineke,163
Frank Hoagland,Bill Reineke,134
Steve Wilson,Bill Reineke,145
George Lang,Bill Reineke,122
Tina Maharath,Bill Reineke,89
Michael Rulli,Bill Reineke,148
Jerry Cirino,Bill Reineke,198
Sandra O'Brien,Bill Reineke,89
Kirk Schuring,Bill Reineke,105
Timothy Schaffer,Bill Reineke,149
Matt Huffman,Bill Reineke,23
Niraj Antani,Bill Reineke,36
Dale Martin,Bill Reineke,17
Nathan Manning,Hearcel Craig,112
Robert McColley,Hearcel Craig,67
Stephen Huffman,Hearcel Craig,106
Cecil Thomas,Hearcel Craig,218
Theresa Gavarone,Hearcel Craig,145
Frank Hoagland,Hearcel Craig,99
Steve Wilson,Hearcel Craig,121
George Lang,Hearcel Craig,86
Tina Maharath,Hearcel Craig,163
Michael Rulli,Hearcel Craig,130
Jerry Cirino,Hearcel Craig,161
Sandra O'Brien,Hearcel Craig,68
Kirk Schuring,Hearcel Craig,91
Timothy Schaffer,Hearcel Craig,115
Matt Huffman,Hearcel Craig,26
Niraj Antani,Hearcel Craig,22
Dale Martin,Hearcel Craig,22
Robert McColley,Nathan Manning,59
Stephen Huffman,Nathan Manning,100
Cecil Thomas,Nathan Manning,125
Theresa Gavarone,Nathan Manning,125
Frank Hoagland,Nathan Manning,86
Steve Wilson,Nathan Manning,99
George Lang,Nathan Manning,74
Tina Maharath,Nathan Manning,76
Michael Rulli,Nathan Manning,110
Jerry Cirino,Nathan Manning,137
Sandra O'Brien,Nathan Manning,58
Kirk Schuring,Nathan Manning,85
Timothy Schaffer,Nathan Manning,94
Matt Huffman,Nathan Manning,20
Niraj Antani,Nathan Manning,23
Dale Martin,Nathan Manning,13
Stephen Huffman,Robert McColley,80
Cecil Thomas,Robert McColley,82
Theresa Gavarone,Robert McColley,101
Frank Hoagland,Robert McColley,85
Steve Wilson,Robert McColley,89
George Lang,Robert McColley,91
Tina Maharath,Robert McColley,48
Michael Rulli,Robert McColley,82
Jerry Cirino,Robert McColley,116
Sandra O'Brien,Robert McColley,69
Kirk Schuring,Robert McColley,59
Timothy Schaffer,Robert McColley,92
Matt Huffman,Robert McColley,25
Niraj Antani,Robert McColley,35
Dale Martin,Robert McColley,11
Cecil Thomas,Stephen Huffman,117
Theresa Gavarone,Stephen Huffman,131
Frank Hoagland,Stephen Huffman,111
Steve Wilson,Stephen Huffman,116
George Lang,Stephen Huffman,101
Tina Maharath,Stephen Huffman,72
Michael Rulli,Stephen Huffman,107
Jerry Cirino,Stephen Huffman,145
Sandra O'Brien,Stephen Huffman,80
Kirk Schuring,Stephen Huffman,82
Timothy Schaffer,Stephen Huffman,117
Matt Huffman,Stephen Huffman,23
Niraj Antani,Stephen Huffman,42
Dale Martin,Stephen Huffman,11
Theresa Gavarone,Cecil Thomas,157
Frank Hoagland,Cecil Thomas,111
Steve Wilson,Cecil Thomas,136
George Lang,Cecil Thomas,106
Tina Maharath,Cecil Thomas,180
Michael Rulli,Cecil Thomas,147
Jerry Cirino,Cecil Thomas,184
Sandra O'Brien,Cecil Thomas,80
Kirk Schuring,Cecil Thomas,99
Timothy Schaffer,Cecil Thomas,132
Matt Huffman,Cecil Thomas,25
Niraj Antani,Cecil Thomas,24
Dale Martin,Cecil Thomas,20
Frank Hoagland,Theresa Gavarone,130
Steve Wilson,Theresa Gavarone,145
George Lang,Theresa Gavarone,117
Tina Maharath,Theresa Gavarone,95
Michael Rulli,Theresa Gavarone,148
Jerry Cirino,Theresa Gavarone,195
Sandra O'Brien,Theresa Gavarone,96
Kirk Schuring,Theresa Gavarone,101
Timothy Schaffer,Theresa Gavarone,146
Matt Huffman,Theresa Gavarone,25
Niraj Antani,Theresa Gavarone,39
Dale Martin,Theresa Gavarone,18
Steve Wilson,Frank Hoagland,115
George Lang,Frank Hoagland,99
Tina Maharath,Frank Hoagland,62
Michael Rulli,Frank Hoagland,113
Jerry Cirino,Frank Hoagland,153
Sandra O'Brien,Frank Hoagland,91
Kirk Schuring,Frank Hoagland,79
Timothy Schaffer,Frank Hoagland,126
Matt Huffman,Frank Hoagland,22
Niraj Antani,Frank Hoagland,38
Dale Martin,Frank Hoagland,11
George Lang,Steve Wilson,108
Tina Maharath,Steve Wilson,81
Michael Rulli,Steve Wilson,121
Jerry Cirino,Steve Wilson,168
Sandra O'Brien,Steve Wilson,90
Kirk Schuring,Steve Wilson,91
Timothy Schaffer,Steve Wilson,133
Matt Huffman,Steve Wilson,25
Niraj Antani,Steve Wilson,38
Dale Martin,Steve Wilson,12
Tina Maharath,George Lang,60
Michael Rulli,George Lang,103
Jerry Cirino,George Lang,148
Sandra O'Brien,George Lang,77
Kirk Schuring,George Lang,77
Timothy Schaffer,George Lang,124
Matt Huffman,George Lang,21
Niraj Antani,George Lang,38
Dale Martin,George Lang,17
Michael Rulli,Tina Maharath,82
Jerry Cirino,Tina Maharath,100
Sandra O'Brien,Tina Maharath,53
Kirk Schuring,Tina Maharath,64
Timothy Schaffer,Tina Maharath,83
Matt Huffman,Tina Maharath,21
Niraj Antani,Tina Maharath,19
Dale Martin,Tina Maharath,20
Jerry Cirino,Michael Rulli,177
Sandra O'Brien,Michael Rulli,80
Kirk Schuring,Michael Rulli,83
Timothy Schaffer,Michael Rulli,130
Matt Huffman,Michael Rulli,19
Niraj Antani,Michael Rulli,33
Dale Martin,Michael Rulli,15
Sandra O'Brien,Jerry Cirino,111
Kirk Schuring,Jerry Cirino,113
Timothy Schaffer,Jerry Cirino,188
Matt Huffman,Jerry Cirino,24
Niraj Antani,Jerry Cirino,46
Dale Martin,Jerry Cirino,17
Kirk Schuring,Sandra O'Brien,58
Timothy Schaffer,Sandra O'Brien,99
Matt Huffman,Sandra O'Brien,22
Niraj Antani,Sandra O'Brien,29
Dale Martin,Sandra O'Brien,12
Timothy Schaffer,Kirk Schuring,101
Matt Huffman,Kirk Schuring,22
Niraj Antani,Kirk Schuring,25
Dale Martin,Kirk Schuring,10
Matt Huffman,Timothy Schaffer,26
Niraj Antani,Timothy Schaffer,40
Dale Martin,Timothy Schaffer,14
Niraj Antani,Matt Huffman,15
Dale Martin,Matt Huffman,8
Dale Martin,Niraj Antani,7
