"ccode","stateabb","year","milex","milper","irst","pec","tpop","upop","cinc","version"
572,"SWA",2000,205000,-9,0,925,1008,0,9.5431453e-05,2021
580,"MAG",2000,-9,-9,0,3847,15942,1057,0.00085998164,2021
581,"COM",2000,-9,-9,0,66,694,0,2.9732366e-05,2021
590,"MAS",2000,9000,-9,0,886,1158,187,7.1788396e-05,2021
591,"SEY",2000,11000,0,0,24,77,0,4.6115765e-06,2021
600,"MOR",2000,1429000,198,5,18163,28351,12642,0.0038940052,2021
615,"ALG",2000,2989000,124,842,77250,31471,9213,0.0042518699,2021
616,"TUN",2000,357000,35,229,8307,9586,1489,0.00087202352,2021
620,"LIB",2000,1176000,76,1055,34901,5605,4282,0.0019453065,2021
625,"SUD",2000,581000,104,0,17493,29490,6641,0.0025007033,2021
630,"IRN",2000,3957000,513,6600,230047,67702,27626,0.012871079,2021
640,"TUR",2000,9994000,610,14325,117839,66591,22766,0.014652329,2021
645,"IRQ",2000,1400000,429,0,43024,23115,17035,0.0061774137,2021
651,"EGY",2000,4099000,448,2838,100652,68470,19994,0.0095749944,2021
652,"SYR",2000,1483000,316,70,29161,16125,8656,0.0042636804,2021
660,"LEB",2000,578000,64,0,1755,3282,988,0.00080450316,2021
663,"JOR",2000,792000,104,30,6792,6669,2042,0.001402071,2021
666,"ISR",2000,9509000,172,280,30634,6217,2748,0.0040528132,2021
670,"SAU",2000,22050000,202,2981,263509,21607,12183,0.011193475,2021
679,"YEM",2000,499000,66,0,7071,18118,2647,0.0014155637,2021
690,"KUW",2000,3695000,15,0,79297,1972,312,0.0018285831,2021
692,"BAH",2000,322000,11,0,30901,617,152,0.00052439532,2021
694,"QAT",2000,1183000,12,729,26106,599,375,0.00081512512,2021
696,"UAE",2000,2997000,65,90,94332,2441,2380,0.0024496678,2021
698,"OMA",2000,2099000,44,0,14609,2542,0,0.00099565915,2021
700,"AFG",2000,250000,400,0,651,22720,3937,0.004098434,2021
701,"TKM",2000,290000,14,0,27235,4459,844,0.00066599005,2021
702,"TAJ",2000,130000,6,0,4664,6188,896,0.00037257758,2021
703,"KYR",2000,230000,9,0,3692,4699,965,0.000370086,2021
704,"UZB",2000,1750000,59,407,84582,24318,5282,0.0029590493,2021
705,"KZK",2000,1250000,64,4769,73729,16223,4707,0.0033601618,2021
710,"CHN",2000,42000000,2810,127236,1872095,1277558,588453,0.16233304,2021
712,"MON",2000,23000,9,35,3009,2662,740,0.00025184982,2021
713,"TAW",2000,17597000,370,16896,18350,21875,13302,0.011690071,2021
731,"PRK",2000,2091000,1055,300,29306,24039,8337,0.010300904,2021
732,"ROK",2000,12749000,683,43107,306555,46844,27352,0.023389466,2021
740,"JPN",2000,45316000,237,106444,698977,126714,76772,0.049880229,2021
750,"IND",2000,14765000,1303,26924,738627,1013662,167077,0.068947494,2021
760,"BHU",2000,21000,6,0,1433,2124,0,0.00012473487,2021
770,"PAK",2000,2522000,612,950,58775,156483,33190,0.013246816,2021
771,"BNG",2000,691000,137,0,25066,129155,17462,0.0065437574,2021
775,"MYA",2000,1020000,344,25,17006,45611,8194,0.0050114002,2021
780,"SRI",2000,880000,115,30,9054,18827,1664,0.0018310642,2021
781,"MAD",2000,35000,0,0,23,286,0,1.5205794e-05,2021
790,"NEP",2000,106000,50,0,9902,23930,1168,0.0012757542,2021
800,"THI",2000,2419000,301,2100,125907,61399,10886,0.007254805,2021
811,"CAM",2000,195000,140,0,3924,11168,2557,0.0016884947,2021
812,"LAO",2000,20000,29,0,1589,5433,552,0.00044202298,2021
816,"DRV",2000,2303000,484,306,34935,79832,10216,0.0077189058,2021
820,"MAL",2000,2579000,96,3650,80014,22244,4098,0.0038376444,2021
830,"SIN",2000,4316000,60,603,65529,4018,4018,0.0026439079,2021
835,"BRU",2000,353000,5,0,3227,328,0,0.00015485891,2021
840,"PHI",2000,1357000,106,426,38029,75967,21774,0.0055812919,2021
850,"INS",2000,614000,297,2848,153978,212107,42816,0.014242808,2021
900,"AUL",2000,7384000,51,7129,186252,18886,14202,0.0071200603,2021
910,"PNG",2000,31000,4,0,2223,4807,254,0.0002160967,2021
920,"NEW",2000,804000,9,702,22849,3862,1766,0.00088456535,2021
935,"VAN",2000,0,0,0,34,190,0,5.6042686e-06,2021
940,"SOL",2000,0,0,0,51,444,0,1.2779074e-05,2021
946,"KIR",2000,0,0,0,3,101,0,2.8110555e-06,2021
947,"TUV",2000,0,0,0,0,11,0,3.0251184e-07,2021
950,"FIJ",2000,33000,4,0,406,817,210,8.2684484e-05,2021
955,"TON",2000,-9,0,0,7,110,0,3.723793e-06,2021
970,"NAU",2000,0,0,0,4,13,0,4.0210981e-07,2021
983,"MSI",2000,0,0,0,11,64,0,1.8827074e-06,2021
986,"PAL",2000,0,0,0,13,19,0,6.6745685e-07,2021
987,"FSM",2000,0,0,0,12,119,0,3.4064155e-06,2021
990,"WSM",2000,0,0,0,35,180,0,5.3404069e-06,2021
