cname,ccode,ti_cpi,vdem_academ,wdi_fertility,wdi_afp,bl_asymf,wdi_expedu,wdi_elprodcoal,wef_iu,wdi_foodins,ht_colonial,lp_legor,cai_foetal,cai_mental,cai_physical,ccp_initiat,ccp_market,h_j,wdi_homicides,ccp_strike,wdi_lfpr,br_pvote,br_elect,van_part,bmr_demdur,fh_polity2,vdem_polyarchy,mad_gdppc,top_top1_income_share,wef_sp
Tajikistan,762,25,0.0869999974966049,3.585000038146973,0.7233419418334961,10.759,5.231389999389648,1.526628613471985,21.95999908447266,NA,0,NA,1,1,1,2,2,0,NA,3,42.13999938964844,0,2,46.11999893188477,28,2.1666667,0.1700000017881393,4440.3818359375,0.149,38
Thailand,764,36,0.1500000059604645,1.524999976158142,1.169029712677002,8.7559996,NA,19.45432090759277,56.81748199462891,7.699999809265137,0,1,1,1,1,1,96,0,2.582003593444824,3,74.70999908447266,0,0,39.40000152587891,5,2.5833333,0.164000004529953,16648.623046875,0.1779,289.6666564941406
Togo,768,30,0.8429999947547913,4.320000171661377,0.3499742746353149,6.8340001,5.369569778442383,0,NA,NA,6,2,1,1,1,1,2,0,NA,1,58.63000106811523,1,2,28.46999931335449,59,4.083333,0.453000009059906,1451.36083984375,0.13850001,NA
Tonga,776,NA,NA,3.555999994277954,NA,11.294,NA,NA,NA,6,5,1,0,0,0,2,2,NA,NA,3,49.31000137329102,0,3,18.29999923706055,49,NA,NA,NA,NA,NA
Trinidad and Tobago,780,41,0.8159999847412109,1.725000023841858,0.6049407720565796,11.226,NA,0,77.3260498046875,NA,5,1,0,1,1,2,2,0,30.64950752258301,3,68.7300033569336,0,3,54.02999877929688,57,9.166666,0.7519999742507935,28549.408203125,0.1972,88.33333587646484
United Arab Emirates (the),784,70,0.1230000033974648,1.412999987602234,0.9328989386558532,11.736,NA,0,98.45000457763672,NA,5,1,1,1,1,2,2,1,0.4637824892997742,3,82.80000305175781,0,0,0,48,0.91666663,0.0949999988079071,76397.8203125,0.1575,170.6666717529297
Tunisia,788,43,0.8069999814033508,2.197000026702881,1.169629573822021,8.4390001,6.596010208129883,0,64.19081115722656,9.699999809265137,6,2,1,1,1,NA,NA,0,NA,NA,51.52999877929688,1,3,30.94000053405762,4,8,0.7369999885559082,11353.88671875,0.1091,158.3333282470703
Turkey,792,41,0.0579999983310699,2.069000005722046,1.559989809989929,7.7930002,NA,29.09509086608887,71.04276275634766,NA,0,2,1,1,1,2,2,0,2.590475559234619,1,58.08000183105469,1,2,62.09999847412109,3,2.75,0.2829999923706055,19270.220703125,0.2006,369.6666564941406
Turkmenistan,795,20,0.0260000005364418,2.78600001335144,1.767183899879456,NA,NA,0,NA,NA,0,NA,1,1,1,NA,NA,0,NA,NA,61.25,0,2,54.93999862670898,28,0.5,0.1500000059604645,26318.365234375,0.1987,NA
Tuvalu,798,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,0,2,2,NA,NA,3,NA,0,3,NA,41,NA,NA,NA,NA,NA
