# source, target, id, weight
22,19,1501,1
22,6,1502,2
22,12,1503,2
22,7,1504,-1
22,40,1505,-1
22,4,1506,-1
22,39,1507,-1
22,39,1508,-2
23,1,1385,1
23,0,1386,1
23,33,1387,1
23,54,1388,1
23,7,1389,1
23,36,1390,1
23,55,1391,1
23,37,1392,1
23,9,1393,1
23,10,1394,1
23,35,1395,1
23,12,1396,1
23,13,1397,1
23,39,1398,1
23,16,1399,1
23,17,1400,1
23,19,1401,1
23,81,1402,1
23,42,1403,1
23,40,1404,1
23,6,1405,1
23,21,1406,1
23,22,1407,1
23,24,1408,1
23,25,1409,1
23,82,1410,1
23,27,1411,1
23,34,1412,1
23,28,1413,1
23,29,1414,1
23,65,1415,1
23,38,1416,1
23,52,1417,1
23,31,1418,1
23,66,1419,1
23,37,1420,2
23,20,1421,2
23,19,1422,2
23,4,1423,-1
25,13,1285,1
25,20,1286,1
25,7,1287,1
25,52,1288,1
25,23,1289,1
25,37,1290,1
25,24,1291,1
25,19,1292,1
25,52,1293,2
25,33,1294,2
25,28,1295,2
25,55,1296,2
26,12,1541,1
26,2,1542,1
26,14,1543,1
26,27,1544,1
26,5,1545,1
26,6,1546,1
26,46,1547,1
26,8,1548,1
26,22,1549,1
26,17,1550,1
26,82,1551,1
26,10,1552,1
26,86,1553,-1
26,87,1554,-1
26,72,1555,-1
26,88,1556,-1
26,76,1557,-1
26,89,1558,-1
26,90,1559,-1
26,91,1560,-1
26,92,1561,-1
26,93,1562,-1
26,51,1563,-1
26,94,1564,-1
26,76,1565,-2
27,1,1832,1
27,12,1833,1
27,41,1834,1
27,3,1835,1
27,65,1836,1
27,15,1837,1
27,66,1838,1
27,11,1839,1
27,62,1840,1
27,6,1841,2
27,9,1842,2
27,38,1843,2
27,22,1844,2
27,26,1845,2
27,21,1846,2
27,82,1847,2
27,17,1848,2
27,2,1849,2
27,10,1850,2
27,14,1851,2
27,5,1852,2
27,16,1853,-1
27,58,1854,-1
27,64,1855,-1
27,61,1856,-1
27,32,1857,-1
28,35,1221,1
28,12,1222,1
28,13,1223,1
28,20,1224,1
28,33,1225,1
28,38,1226,1
28,22,1227,1
28,37,1228,1
28,25,1229,1
28,70,1230,1
28,70,1231,2
28,71,1232,2
28,24,1233,-1
28,1,1234,-1
28,34,1235,-1
28,0,1236,-2
28,34,1237,-2
29,72,1259,1
29,11,1260,1
29,7,1261,1
29,4,1262,1
29,36,1263,1
29,50,1264,1
29,37,1265,1
29,9,1266,1
29,57,1267,1
29,62,1268,1
29,9,1269,2
29,56,1270,2
29,38,1271,2
29,39,1272,2
29,40,1273,2
29,31,1274,2
29,30,1275,2
29,73,1276,2
29,72,1277,2
29,63,1278,-1
29,16,1279,-1
29,53,1280,-1
29,36,1281,-1
29,25,1282,-1
29,74,1283,-1
29,36,1284,-2
30,42,1693,1
30,58,1694,1
30,41,1695,1
30,2,1696,1
30,14,1697,1
30,60,1698,1
30,3,1699,1
30,65,1700,1
30,21,1701,1
30,17,1702,1
30,66,1703,1
30,32,1704,1
30,10,1705,1
30,11,1706,1
30,62,1707,1
30,17,1708,2
30,31,1709,2
30,59,1710,2
30,14,1711,2
30,90,1712,-2
30,77,1713,-2
30,73,1714,-2
30,83,1715,-2
30,72,1716,-2
30,79,1717,-2
30,76,1718,-2
30,84,1719,-2
30,98,1720,-2
30,78,1721,-2
30,94,1722,-2
30,91,1723,-2
30,85,1724,-2
30,81,1725,-2
30,86,1726,-2
30,44,1727,-2
30,92,1728,-2
30,69,1729,-2
30,88,1730,-2
30,50,1731,-2
30,89,1732,-2
30,51,1733,-2
30,87,1734,-2
30,93,1735,-2
31,35,1676,1
31,40,1677,1
31,39,1678,1
31,34,1679,1
31,60,1680,1
31,29,1681,1
31,36,1682,1
31,58,1683,1
31,18,1684,1
31,9,1685,1
31,21,1686,1
31,60,1687,2
31,17,1688,2
31,30,1689,2
31,9,1690,2
31,48,1691,-2
31,47,1692,-2
32,99,1766,1
32,89,1767,1
32,100,1768,1
32,61,1769,1
32,60,1770,1
32,100,1771,2
32,101,1772,2
32,96,1773,2
32,99,1774,2
32,79,1775,-1
32,93,1776,-1
32,93,1777,-2
33,4,1129,1
33,6,1130,1
33,7,1131,1
33,52,1132,1
33,22,1133,1
33,52,1134,2
33,28,1135,2
33,37,1136,2
33,25,1137,2
33,24,1138,2
33,23,1139,2
33,19,1140,2
33,55,1141,2
33,0,1142,-1
33,1,1143,-1
33,2,1144,-1
33,58,1145,-1
33,5,1146,-1
33,36,1147,-1
